,a0,a1,a2,a3,a4,a5,a6
4.91996,9.855788607097385e-05,0.0,3.682972383122627e-05,0.0,-3.4636471570919987e-05,0.0,1.5776347427213578e-05
4.92615,0.00010333819173068416,0.0,3.783159230404083e-05,0.0,-3.8621235018021674e-05,0.0,1.183249519925404e-05
4.9301900000000005,0.00010545706957811466,0.0,5.089969790730812e-05,0.0,-4.9373560639510636e-05,0.0,1.5817577280848227e-05
4.93692,0.00010698598310793315,0.0,3.863339662389113e-05,0.0,-4.595111421752959e-05,0.0,2.133036323489034e-05
4.94675,0.0001075307074876195,0.0,4.219064229209082e-05,0.0,-5.401333367141402e-05,0.0,1.2364103038147574e-05
4.95027,0.0001121944360962204,0.0,5.216930550286942e-05,0.0,-6.059165507826326e-05,0.0,1.4263187574186657e-05
4.95676,0.00010804270887990731,0.0,4.0980717769511325e-05,0.0,-5.568401168888926e-05,0.0,1.910978110551014e-05
4.961869999999999,0.00011159629976438498,0.0,4.8259838943432993e-05,0.0,-5.6376038244046036e-05,0.0,7.244332668550114e-06
4.96475,0.00011225815215695446,0.0,4.4869698006047635e-05,0.0,-6.322403678440831e-05,0.0,1.5858875087274256e-05
4.96787,0.000115625230477019,0.0,5.0652165980585174e-05,0.0,-6.598088864837708e-05,0.0,9.867434577924574e-06
4.97004,0.00012268260219347704,0.0,5.41972502743017e-05,0.0,-6.351797872339508e-05,0.0,1.8362119951111294e-05
4.9728,0.00011616872672061781,0.0,4.777215012631982e-05,0.0,-6.23444501190867e-05,0.0,1.6230187911951213e-05
4.97463,0.00011718609866018759,0.0,5.217039641802114e-05,0.0,-6.908702499658173e-05,0.0,1.276977103900299e-05
4.98471,0.00011839567264252639,0.0,5.06511550023873e-05,0.0,-6.568323851403213e-05,0.0,1.5887751292750985e-05
4.990069999999999,0.0001269433952025185,0.0,6.0306101626467145e-05,0.0,-6.512622061427648e-05,0.0,1.957265548552276e-05
4.994669999999999,0.00012189463467051228,0.0,5.735033639222959e-05,0.0,-6.535898165957143e-05,0.0,1.6780287462076212e-05
5.00464,0.00012611128394521945,0.0,5.817349215623744e-05,0.0,-6.780408390150924e-05,0.0,1.3750389444924584e-05
5.00999,0.0001359790159815052,0.0,6.080866972189516e-05,0.0,-6.209958145504891e-05,0.0,1.2836270616897413e-05
5.01484,0.0001457310236181368,0.0,6.86454149071215e-05,0.0,-7.997487799176434e-05,0.0,1.7585959174785105e-05
