,a0,a1,a2
4.43018,6.134855050847481e-05,0.0,3.317523378016814e-07
4.44004,0.00012739122587071696,0.0,1.1159178512370633e-05
4.44994,0.0002191738294691462,0.0,4.369016500289296e-06
4.4549900000000004,0.0005912959970860099,0.0,6.429327101620647e-05
4.46012,0.0009592037580680155,0.0,6.652179617057379e-05
4.4699599999999995,0.0010647440419123172,0.0,5.251287157887963e-05
4.4779800000000005,0.0008572900338488389,0.0,8.332926251707478e-05
4.48613,0.00044049155105561856,0.0,3.0478230343357647e-05
4.48819,0.0003394051915684418,0.0,2.5284584228264247e-05
4.490069999999999,0.00043352100954787743,0.0,3.589587518083141e-05
4.49222,0.00019106520425767536,0.0,1.8528487234544065e-05
4.4949900000000005,0.0001370406440960042,0.0,7.87338268350423e-06
4.499969999999999,7.92544964848814e-05,0.0,5.152470741599131e-06
4.51021,4.263934087003352e-05,0.0,1.0780977220192388e-06
4.51218,3.2451279895768826e-05,0.0,3.6131834198264675e-06
4.51508,3.1361705608647886e-05,0.0,3.3171992197082716e-06
4.52007,3.786663330428118e-05,0.0,2.290680716759764e-06
4.52524,5.390908503375086e-05,0.0,6.934980630778366e-06
4.5294099999999995,4.846693384577008e-05,0.0,9.447317383092907e-06
4.53506,0.00010160946128746348,0.0,1.1431144683439789e-05
4.54024,0.00014874938543988863,0.0,3.0880454509770893e-05
4.5498,0.0003765794934742205,0.0,2.7680976527411186e-05
4.56018,0.0009626722365302862,0.0,8.40668480360769e-05
4.570130000000001,0.0009552552529058466,0.0,4.608670916914115e-05
4.580030000000001,0.0005124510332519971,0.0,3.0328352080722573e-05
4.59008,0.00027063337137371514,0.0,2.5575034226270305e-05
4.60027,0.000135334890369457,0.0,1.3302821965029743e-05
4.60999,0.0001370309233332039,0.0,-6.347021181497658e-06
4.62023,9.005846504236909e-05,0.0,7.665797268559865e-06
4.62994,8.772352574951638e-05,0.0,1.2776613080550035e-06
4.63517,5.2038982648650545e-05,0.0,1.1393600591027629e-05
4.639959999999999,6.386480370244692e-05,0.0,3.3838539712527355e-06
4.64996,0.0001413559260964723,0.0,-2.1218703893511473e-06
4.67012,9.215889000803212e-05,0.0,4.434270003263135e-06
4.68015,4.394103982442368e-05,0.0,1.065686978002047e-06
4.68993,3.5820903094591154e-05,0.0,5.140534937805614e-07
4.71002,3.3647915268852365e-05,0.0,2.996153906686943e-06
4.73,4.36133225005032e-05,0.0,1.1476988243176897e-06
4.75,7.766652729514227e-05,0.0,3.564772156271578e-06
4.75518,0.00017742533177853454,0.0,1.1697346382305549e-05
4.75888,0.0002004811576153096,0.0,2.1252240727184085e-06
4.77004,0.00023500226243021455,0.0,1.9801609682532825e-05
4.77502,0.00024309462583980404,0.0,1.1403132024268587e-05
4.7801800000000005,0.0002165867919208961,0.0,5.384811666421805e-06
4.79012,0.0001899835600363785,0.0,8.257058040701508e-06
4.799919999999999,0.0001438296762776115,0.0,2.5953148970480917e-06
4.81003,0.00013129588415111075,0.0,6.487033766787551e-06
4.8121599999999995,0.00012446105223263575,0.0,9.835880701500216e-06
4.81527,0.0001222776370992969,0.0,5.442323174945947e-06
4.82006,0.00012046535389410825,0.0,1.433930989100245e-05
4.82989,0.00012147162863179454,0.0,7.519588877871687e-06
4.85003,0.00014340167442267578,0.0,9.963707681061881e-06
4.86629,0.00019039886603409054,0.0,1.888830302292478e-05
4.88989,0.00031217823049194517,0.0,2.55740756435215e-05
4.89991,0.0004765374493991208,0.0,3.0150675802020028e-05
4.9101300000000005,0.0006308754797182919,0.0,5.200968160413289e-05
4.91996,0.0008394794069267005,0.0,3.4867089174200166e-05
4.92615,0.0010468938012135876,0.0,8.603783606847335e-05
4.9301900000000005,0.0011303258602910992,0.0,0.00010903155046867453
4.93692,0.0014102268822492091,0.0,0.00012093121554765473
4.94675,0.001730022433646658,0.0,0.00010322591158431516
4.95027,0.0017520845487436906,0.0,0.00012037970279031477
4.95676,0.001965761316227838,0.0,8.506838983820651e-05
4.961869999999999,0.002004024662456593,0.0,9.753375535284421e-05
4.96475,0.001995050265761746,0.0,0.00010246083802910654
4.96787,0.001959334586187213,0.0,0.00010844796414617917
4.97004,0.00196849632954536,0.0,0.00013012078324077615
4.9728,0.0018622295500164354,0.0,0.0001133316134006349
4.97463,0.0018144939744316527,0.0,8.698709084055784e-05
4.98471,0.0014926067768149683,0.0,5.893942463498391e-05
4.990069999999999,0.0013935609240196764,0.0,0.00010442479421139858
4.994669999999999,0.0011674100655343542,0.0,8.438538407871401e-05
5.00464,0.000905435645362029,0.0,4.2485042548898694e-05
5.00999,0.0008299528889295965,0.0,4.5182142821677664e-05
5.01484,0.0007135314137622838,0.0,5.698531474599508e-05
5.01774,0.0006779770032340885,0.0,3.0039590637738623e-05
5.01786,0.000680962804655973,0.0,2.8163695408365713e-05
5.019819999999999,0.0006708176599458845,0.0,3.3595120273182865e-05
5.0248,0.0006519683167844699,0.0,2.3374143678134528e-05
5.027830000000001,0.0006565624518390845,0.0,2.4567749564636614e-05
5.0301,0.0006711567521472131,0.0,2.7876223507803616e-05
5.032780000000001,0.0007389126355321468,0.0,3.843514742736421e-05
5.0359,0.000807723053789561,0.0,1.349747455798747e-05
5.03871,0.0008467116922282588,0.0,1.8848813918856002e-05
5.041980000000001,0.0008626726902552129,0.0,3.469629635232793e-05
5.04479,0.0008382747132326916,0.0,2.27806737232616e-05
5.04997,0.000800281785013349,0.0,5.250417898635643e-05
5.05484,0.000687295951761797,0.0,2.21498801725871e-05
5.0648800000000005,0.00042922443054575635,0.0,1.2344463074019155e-05
5.06991,0.00036375070555281163,0.0,1.8556137178993923e-05
5.07448,0.00028989176289828455,0.0,1.1823771884835265e-05
5.08419,0.00022458258848035199,0.0,1.8877767579316486e-05
5.08999,0.00021546450085318332,0.0,3.7763510767720836e-06
5.093719999999999,0.00020533868671612285,0.0,1.573308588704915e-07
5.09676,0.00021368894951740583,0.0,1.0393070677269335e-05
5.09889,0.0002046357603082714,0.0,1.2382214423505369e-05
5.09999,0.00020135526638334145,0.0,3.0276719728837227e-05
