,Run,Detector,Yield,Yield err,Fit Status,Ea
2506,run0373,det_h1-2,0.00101932,0.000136113,0,4344.87739157652
2507,run0373,det_h1-3,0.00301325,0.000178287,0,4344.87739157652
2508,run0373,det_h1-4,0.0030694000000000003,0.000171802,0,4344.87739157652
2509,run0374,det_h0-0,0.00366016,0.000178988,0,4340.0419567643
2510,run0374,det_h0-1,0.00336179,0.00017790299999999998,0,4340.0419567643
2511,run0374,det_h0-2,0.00156348,0.00014463600000000002,0,4340.0419567643
2512,run0374,det_h0-3,0.00271476,0.000171272,0,4340.0419567643
2513,run0374,det_h0-4,0.00296503,0.00017833400000000002,0,4340.0419567643
2514,run0374,det_h0-5,0.00281913,0.000176832,0,4340.0419567643
2515,run0374,det_h0-6,0.00334455,0.000184474,0,4340.0419567643
2516,run0374,det_h0-7,0.00281863,0.000178763,0,4340.0419567643
2517,run0374,det_h1-0,0.00277615,0.00017345400000000002,0,4340.0419567643
2518,run0374,det_h1-1,0.00293771,0.00016906099999999997,0,4340.0419567643
2519,run0374,det_h1-2,0.00125796,0.000141831,0,4340.0419567643
2520,run0374,det_h1-3,-0.00019895,8.54224e-05,0,4340.0419567643
2521,run0374,det_h1-4,0.00318937,0.000173265,0,4340.0419567643
2522,run0375,det_h0-0,0.00601017,0.00022726099999999998,0,4335.15135329638
2523,run0375,det_h0-1,0.00560863,0.00022328799999999998,0,4335.15135329638
2524,run0375,det_h0-2,0.00258896,0.00018276,0,4335.15135329638
2525,run0375,det_h0-3,0.0049859,0.000222485,0,4335.15135329638
2526,run0375,det_h0-4,0.00477256,0.000218127,0,4335.15135329638
2527,run0375,det_h0-5,0.00540324,0.000230883,0,4335.15135329638
2528,run0375,det_h0-6,0.00550726,0.00022272900000000002,0,4335.15135329638
2529,run0375,det_h0-7,0.00551245,0.00022433,0,4335.15135329638
2530,run0375,det_h1-0,0.00511309,0.000222314,0,4335.15135329638
2531,run0375,det_h1-1,0.00430541,0.000210071,0,4335.15135329638
2532,run0375,det_h1-2,0.00180371,0.000169294,0,4335.15135329638
2533,run0375,det_h1-3,0.00556498,0.000229399,0,4335.15135329638
2534,run0375,det_h1-4,0.00586268,0.000226663,0,4335.15135329638
2535,run0376,det_h0-0,0.00818855,0.00028168299999999997,0,4333.242162088
2536,run0376,det_h0-1,0.00728391,0.000270055,0,4333.242162088
2537,run0376,det_h0-2,0.00334493,0.000224153,0,4333.242162088
2538,run0376,det_h0-3,0.00649464,0.000267218,0,4333.242162088
2539,run0376,det_h0-4,0.00639097,0.000266986,0,4333.242162088
2540,run0376,det_h0-5,0.00749639,0.000282751,0,4333.242162088
2541,run0376,det_h0-6,0.00724067,0.000276572,0,4333.242162088
2542,run0376,det_h0-7,0.00680791,0.000269989,0,4333.242162088
2543,run0376,det_h1-0,0.00701606,0.000274965,0,4333.242162088
2544,run0376,det_h1-1,0.00633778,0.00026138400000000003,0,4333.242162088
2545,run0376,det_h1-2,0.0032216000000000002,0.0002234,0,4333.242162088
2546,run0376,det_h1-3,0.00636259,0.000271528,0,4333.242162088
2547,run0376,det_h1-4,0.00815677,0.00028127400000000003,0,4333.242162088
2548,run0377,det_h0-0,0.0126396,0.000398055,0,4331.18880466654
2549,run0377,det_h0-1,0.0106499,0.00037788,0,4331.18880466654
2550,run0377,det_h0-2,0.00487504,0.000292178,0,4331.18880466654
2551,run0377,det_h0-3,0.00970214,0.000373671,0,4331.18880466654
2552,run0377,det_h0-4,0.0104514,0.000383949,0,4331.18880466654
2553,run0377,det_h0-5,0.0113307,0.000397137,0,4331.18880466654
2554,run0377,det_h0-6,0.0125771,0.000400189,0,4331.18880466654
2555,run0377,det_h0-7,0.0113486,0.00038579300000000005,0,4331.18880466654
2556,run0377,det_h1-0,0.0117772,0.00039236,0,4331.18880466654
2557,run0377,det_h1-1,0.00974538,0.00036621699999999995,0,4331.18880466654
2558,run0377,det_h1-2,0.00444468,0.000287913,0,4331.18880466654
2559,run0377,det_h1-3,0.0106454,0.000383896,0,4331.18880466654
2560,run0377,det_h1-4,0.0112044,0.000385004,0,4331.18880466654
2561,run0378,det_h0-0,0.0177452,0.000501765,0,4329.0781135644
2562,run0378,det_h0-1,0.0147164,0.000466192,0,4329.0781135644
2563,run0378,det_h0-2,0.00681412,0.000351729,0,4329.0781135644
2564,run0378,det_h0-3,0.014106299999999999,0.00047454699999999997,0,4329.0781135644
2565,run0378,det_h0-4,0.015126400000000002,0.00048184599999999997,0,4329.0781135644
2566,run0378,det_h0-5,0.0168783,0.000495234,0,4329.0781135644
2567,run0378,det_h0-6,0.018452700000000002,0.0005094219999999999,0,4329.0781135644
2568,run0378,det_h0-7,0.0168611,0.000498716,0,4329.0781135644
2569,run0378,det_h1-0,0.0145716,0.00047405300000000005,0,4329.0781135644
2570,run0378,det_h1-1,0.013938999999999998,0.00045858,0,4329.0781135644
2571,run0378,det_h1-2,0.00636558,0.00035322699999999996,0,4329.0781135644
2572,run0378,det_h1-3,0.014870600000000001,0.00047971099999999996,0,4329.0781135644
2573,run0378,det_h1-4,0.0172859,0.000495826,0,4329.0781135644
2574,run0379,det_h0-0,0.0263952,0.000700247,0,4327.1124531215
2575,run0379,det_h0-1,0.022368700000000002,0.0006477519999999999,0,4327.1124531215
