Run,Detector,Yield,Yield_err,Fit Status
run0178,det_h0-2,3.28744E-12,0.0145019,0
run0178,det_h0-3,1.01549,0.0483966,0
run0178,det_h0-4,0.0125292,0.00461236,0
run0178,det_h0-5,5.32861E-09,0.0143692,0
run0178,det_h0-6,1.32958,0.0477867,0
run0178,det_h0-7,1.00927,0.0603059,0
run0178,det_h1-0,0.69981,0.197805,0
run0178,det_h1-1,1.87567E-12,0.00568979,0
run0178,det_h1-2,0.685272,0.300276,0
run0178,det_h1-3,0.384667,0.209246,0
run0178,det_h1-4,1.37161,0.0635986,0
run0179,det_h0-0,1.0258,0.120204,0
run0179,det_h0-1,0.78352,0.121696,0
run0179,det_h0-2,0.477747,0.0327319,0
run0179,det_h0-3,0.844285,0.0432507,0
run0179,det_h0-4,5.89154E-10,0.0113528,0
run0179,det_h0-5,0.889126,0.097939,0
run0179,det_h0-6,1.05082,0.049822,0
run0179,det_h0-7,0.524726,0.17971,0
run0179,det_h1-0,0.772025,0.0985173,0
run0179,det_h1-1,4.35852E-12,0.00828301,0
run0179,det_h1-2,0.00785122,0.0103188,0
run0179,det_h1-3,2.59376E-11,6.20848,0
run0179,det_h1-4,5.68299E-09,0.0643567,0
run0180,det_h0-0,0.827621,0.0946622,0
run0180,det_h0-1,0.999715,0.0547853,0
run0180,det_h0-2,2.645E-10,0.00582069,0
run0180,det_h0-3,0.618532,0.44309,0
run0180,det_h0-4,0.652304,0.129459,0
run0180,det_h0-5,0.31489,0.493775,0
run0180,det_h0-6,0.875175,0.0850482,0
run0180,det_h0-7,0.0257601,0.0115837,0
run0180,det_h1-0,0.778401,0.0487951,0
run0180,det_h1-1,1.46021E-09,0.276344,0
run0180,det_h1-2,0.477219,0.0435701,0
run0180,det_h1-3,9.00548E-11,0.0250731,0
run0180,det_h1-4,0.0222632,0.021007,0
run0181,det_h0-0,0.838344,0.0929186,0
run0181,det_h0-1,0.383183,0.190928,0
run0181,det_h0-2,0.23262,0.276031,0
run0181,det_h0-3,0.770942,0.103874,0
run0181,det_h0-4,0.437934,0.390723,0
run0181,det_h0-5,7.10586E-11,0.0181232,0
run0181,det_h0-6,0.88044,0.0539604,0
run0181,det_h0-7,0.599314,0.09446,0
run0181,det_h1-0,9.75523E-08,0.529714,0
run0181,det_h1-1,2.7716E-13,0.00786354,0
run0181,det_h1-2,0.0410823,0.0151384,0
run0181,det_h1-3,1.03418E-09,0.0224729,0
run0181,det_h1-4,0.811075,0.110433,0
run0183,det_h0-0,0.83381,0.0636697,0
run0183,det_h0-1,0.83798,0.110891,0
run0183,det_h0-2,0.0974999,0.0675446,0
run0183,det_h0-3,0.320372,0.150609,0
run0183,det_h0-4,0.0273069,0.0253419,0
run0183,det_h0-5,0.530447,0.138839,0
run0183,det_h0-6,0.69023,0.0673601,0
run0183,det_h0-7,0.740119,0.420043,0
run0183,det_h1-0,0.555719,0.0669359,0
run0183,det_h1-1,0.135755,0.148578,0
run0183,det_h1-2,0.00878212,0.00456504,0
run0183,det_h1-3,2.45322E-10,0.0262524,0
run0183,det_h1-4,0.467743,0.228286,0
run0184,det_h0-0,0.287722,0.16191,0
