,a0,a1,a2,a3,a4
4.570130000000001,0.0009549392739426342,0.0,4.507370425015708e-05,0.0,2.5306209111597882e-06
4.580030000000001,0.0005154869124917037,0.0,3.925270080962278e-05,0.0,-2.4830313493801584e-05
4.59008,0.0002726589812221391,0.0,3.322793446923872e-05,0.0,-1.9173050123633608e-05
4.60027,0.00013704712814012642,0.0,1.8675845710912515e-05,0.0,-1.5309383637487597e-05
4.60999,0.0001387934065136009,0.0,-2.8376680916431038e-06,0.0,-1.303381720119423e-05
4.62023,9.219298767440446e-05,0.0,1.7075429106045034e-05,0.0,-2.9487189059912024e-05
4.62994,8.842107557209196e-05,0.0,2.7464197766970516e-06,0.0,-5.072924302550673e-06
4.63517,5.220896411644117e-05,0.0,1.192024396914342e-05,0.0,-1.4040339127931377e-06
4.639959999999999,6.416432160477447e-05,0.0,4.126932056962786e-06,0.0,-2.226405328284364e-06
4.64996,0.00014038702585565468,0.0,-4.422379156234043e-06,0.0,6.54802340493069e-06
4.67012,9.275216810120765e-05,0.0,6.261683432560666e-06,0.0,-5.0072871461874646e-06
4.68015,4.307505663120434e-05,0.0,-6.214178266990784e-07,0.0,5.0877380382443975e-06
4.68993,3.606452634323399e-05,0.0,1.204465692194915e-06,0.0,-1.984737696228029e-06
4.71002,3.3325656806478864e-05,0.0,2.0736800155146307e-06,0.0,2.2769993854531895e-06
4.73,4.3285554089969575e-05,0.0,4.069048314766394e-07,0.0,2.176048882054457e-06
4.75,7.75575704490249e-05,0.0,3.1993573715527113e-06,0.0,8.906827753574691e-07
4.75518,0.00017726332209559617,0.0,1.1125554413091077e-05,0.0,1.361549699323993e-06
4.75888,0.0002002498682744081,0.0,1.3938310151339052e-06,0.0,1.8416522153473613e-06
4.77004,0.00023474884247710794,0.0,1.877530920463042e-05,0.0,2.2904900347634676e-06
4.77502,0.00024330832266211049,0.0,1.2067671807994681e-05,0.0,-1.7194328157972023e-06
4.7801800000000005,0.00021768665451637006,0.0,8.29561008204995e-06,0.0,-8.531799627400752e-06
4.79012,0.00018915214683639186,0.0,6.111097415316075e-06,0.0,5.862369710964695e-06
4.799919999999999,0.00014316050879610822,0.0,9.406739576467934e-07,0.0,4.6522955814927075e-06
4.81003,0.00013175302428627446,0.0,7.846652093723732e-06,0.0,-3.6684655294611945e-06
4.8121599999999995,0.00012461484494636076,0.0,1.0375367548339818e-05,0.0,-1.3126804683682048e-06
4.81527,0.00012260559878480185,0.0,6.52631595909145e-06,0.0,-2.7767543616336774e-06
4.82006,0.00012052316938473352,0.0,1.4600284585411054e-05,0.0,-5.674466515764245e-07
4.82989,0.00012123439178944388,0.0,6.594596413357529e-06,0.0,2.085742729440974e-06
4.85003,0.00014276535414573945,0.0,7.473413667126844e-06,0.0,5.476788632043608e-06
4.86629,0.0001903194142440247,0.0,1.8509000063795227e-05,0.0,8.001999276620814e-07
4.88989,0.0003117597787507827,0.0,2.3607729636911446e-05,0.0,4.132191841121314e-06
4.89991,0.00047658771201711627,0.0,3.0373121273194637e-05,0.0,-4.865858875025563e-07
4.9101300000000005,0.0006307054466420866,0.0,5.1212414093600233e-05,0.0,1.6991016115991386e-06
4.91996,0.0008396965098184045,0.0,3.577246911325006e-05,0.0,-2.03354386197753e-06
4.92615,0.0010455694699945594,0.0,7.977342204037156e-05,0.0,1.315683095782911e-05
4.9301900000000005,0.0011296432394663305,0.0,0.00010574180195213975,0.0,6.9118742056729535e-06
4.93692,0.0014099204906961118,0.0,0.00011942715637285673,0.0,3.1531363282062208e-06
4.94675,0.0017299558788267772,0.0,0.00010292223300621731,0.0,6.56315839778328e-07
4.95027,0.0017501225227606768,0.0,0.00011144775023903847,0.0,1.9076103696842334e-05
4.95676,0.0019641350720512657,0.0,7.796119371021945e-05,0.0,1.545265383886356e-05
4.961869999999999,0.0020048589773208466,0.0,0.00010126771277848145,0.0,-8.175018114039652e-06
4.96475,0.0019936573030935475,0.0,9.614835259583316e-05,0.0,1.3545515295406048e-05
4.96787,0.0019598717970298212,0.0,0.00011090611750838249,0.0,-5.325054150244584e-06
4.97004,0.001960218971212531,0.0,9.540046509656741e-05,0.0,7.42053811293597e-05
4.9728,0.001861400880088202,0.0,0.00010946535415177522,0.0,8.231991898161271e-06
4.97463,0.0018161737839106629,0.0,9.457277592416684e-05,0.0,-1.6655016958965572e-05
4.98471,0.00149376313913944,0.0,6.416182082515185e-05,0.0,-1.1430438096788331e-05
4.990069999999999,0.0013882789232391693,0.0,8.146785801335597e-05,0.0,4.8520339697872e-05
4.994669999999999,0.0011677294400024444,0.0,8.593451958768973e-05,0.0,-3.2814484294263132e-06
5.00464,0.0009066445041096659,0.0,4.79276615246043e-05,0.0,-1.203187195567766e-05
5.00999,0.0008289347242803305,0.0,4.0794451352410765e-05,0.0,9.559361452063837e-06
5.01484,0.0007137720449729034,0.0,5.817161960259873e-05,0.0,-2.4988734668389836e-06
5.01774,0.000679416540877002,0.0,3.6362048576273675e-05,0.0,-1.4259388072470763e-05
5.01786,0.0006824238185040505,0.0,3.4643210385750955e-05,0.0,-1.4554829931511113e-05
5.019819999999999,0.0006748905239029491,0.0,5.4250985478691385e-05,0.0,-4.69724407232251e-05
5.0248,0.0006555712250761637,0.0,3.8742341246413305e-05,0.0,-3.674653987872379e-05
