,a0,a0err,fitOrder,splineX,splineY
4.0471,0.0007952302552055668,1.678377023817417e-05,4,4.0471,0.0007952302552055668
4.0475,0.0007967970410939063,1.6821885316299207e-05,4,4.0475,0.0007967970410939063
4.048,0.0007983633605300162,1.6860020940016398e-05,4,4.048,0.0007983633605300162
4.0484,0.000799919629260084,1.6897928469238305e-05,4,4.0484,0.000799919629260084
4.0488,0.0008014688941287023,1.693568655390607e-05,4,4.0488,0.0008014688941287023
4.0493,0.0008030162963329903,1.697338678779701e-05,4,4.0493,0.0008030162963329903
4.0497,0.0008045613793361522,1.7011046485976754e-05,4,4.0497,0.0008045613793361522
4.0501,0.0008061027021304616,1.7048627005367575e-05,4,4.0501,0.0008061027021304616
4.0505,0.0008076376828205056,1.7086043437603854e-05,4,4.0505,0.0008076376828205056
4.051,0.0008091772464625661,1.712354929633047e-05,4,4.051,0.0008091772464625661
4.0514,0.0008107113674227585,1.716090653110631e-05,4,4.0514,0.0008107113674227585
4.0518,0.0008122478505071311,1.719828963540773e-05,4,4.0518,0.0008122478505071311
4.0523,0.000813785902625161,1.723568116234305e-05,4,4.0523,0.000813785902625161
4.0527,0.000815328879572761,1.7273120406288752e-05,4,4.0527,0.000815328879572761
4.0531,0.0008168770192139898,1.7310667793545236e-05,4,4.0531,0.0008168770192139898
4.0535,0.0008184305977511541,1.7348287771320168e-05,4,4.0535,0.0008184305977511541
4.054,0.0008199903313579413,1.7385962326483014e-05,4,4.054,0.0008199903313579413
4.0544,0.0008215669275198213,1.7423987651532206e-05,4,4.0544,0.0008215669275198213
4.0548,0.0008231515437723323,1.74620914274537e-05,4,4.0548,0.0008231515437723323
4.0553,0.000824751600885912,1.7500472477442385e-05,4,4.0553,0.000824751600885912
4.0557,0.0008263721513160722,1.7539243871329634e-05,4,4.0557,0.0008263721513160722
4.0561,0.0008280125810903119,1.7578367284819522e-05,4,4.0561,0.0008280125810903119
4.0565,0.0008296762766439306,1.7617909284190868e-05,4,4.0565,0.0008296762766439306
4.057,0.0008313653442775488,1.7657909587351372e-05,4,4.057,0.0008313653442775488
4.0574,0.0008330837263153881,1.769845276061559e-05,4,4.0574,0.0008330837263153881
4.0578,0.0008348383758340002,1.7739701093628008e-05,4,4.0578,0.0008348383758340002
4.0583,0.0008366264844679298,1.7781552985620983e-05,4,4.0583,0.0008366264844679298
4.0587,0.0008384609758271626,1.7824303977999612e-05,4,4.0587,0.0008384609758271626
