,a0
5.110040000000001,0.00018058665190838382
5.11075,0.00017899456699454428
5.11384,0.00017775559645454847
5.1188,0.00016096606225572381
5.1237699999999995,0.00013975952851284564
5.12852,0.0001290872312869088
5.12994,0.00012916537441956218
5.1338099999999995,0.00015715154630936747
5.13888,0.0002749360034884834
5.14165,0.00033596127364647144
5.1447400000000005,0.0003594649109269527
5.14799,0.00036404445137429525
5.15001,0.0003771601655646741
5.150980000000001,0.00037909912528028694
5.15704,0.0003649499853037565
5.15937,0.0003366816214288715
5.17005,0.00021197736456896068
5.18984,0.00013871290361192336
5.210030000000001,0.0001272397058465611
5.23003,0.00014815176797629889
5.2395,0.0002037111819467493
5.24306,0.00022713169123022076
5.25013,0.00034480103303868967
5.25994,0.0004670588069213693
5.26504,0.00047998019184854033
5.26998,0.00046284831693578493
5.27496,0.00041515435146798513
5.27502,0.0004163404121891179
5.2798099999999994,0.0003644461414374523
5.28495,0.0003151254487094816
5.29016,0.00028507123533460653
5.29294,0.0002940942465557945
5.29767,0.00028552073003897826
5.29972,0.00027965225591731986
5.30238,0.00026551986007106957
5.30823,0.0002958691196635912
5.312880000000001,0.0003466018464334008
5.31752,0.0003873002494026581
5.32281,0.0004419247155245991
5.32768,0.000516471060119375
5.33288,0.0005814415648153475
5.33291,0.0005592934322793679
5.33747,0.0005555958461882999
5.34274,0.0005046007580328247
5.34293,0.0004981410278815468
5.34694,0.00043825499960459865
5.34826,0.0004229564274140551
5.34858,0.0004105708464126901
5.35205,0.0005261798247366901
5.3536,0.00046009422071806294
5.3579,0.00048342716893591184
5.35797,0.0005305128762204295
5.3598300000000005,0.00044127580436026544
5.36189,0.00041607832629168015
5.36386,0.00039497009490872055
5.36605,0.0003707882530102792
5.368040000000001,0.0003423478898992786
5.36827,0.0003699804987182565
5.36965,0.00034618728085513583
5.3714900000000005,0.00041652084058605305
5.373419999999999,0.0002892534983141351
5.3748,0.000178520811335832
5.38009,7.40798340895787e-05
5.3829199999999995,4.5974818132412054e-05
5.3833400000000005,6.5670760754446e-05
5.383859999999999,4.0649275385325346e-05
5.38596,3.3157628093209524e-05
5.38986,2.8250810029340372e-05
5.39308,2.8309213776699162e-05
5.40341,4.1608046612109557e-05
5.41408,7.718410797539051e-05
5.42436,8.641439401897561e-05
5.43541,7.597858872355886e-05
5.43926,6.769609625054196e-05
5.4408199999999995,6.977529402727302e-05
