Run,Detector,Yield,Yield err,Area,Area err,Fit Status
run0165,det_h0-2,0.00720317,0.00115967,3327.42,535.695,0
run0165,det_h0-3,0.00020645,1.44072e-05,95.3674,6.65524,1
run0165,det_h0-4,0.00881867,0.00157085,4073.69,725.635,0
run0165,det_h0-5,0.00874418,0.00113278,4039.28,523.276,0
run0165,det_h0-6,0.00762172,0.000892972,3520.77,412.498,0
run0165,det_h0-7,0.00736702,0.000844708,3403.11,390.204,0
run0165,det_h1-0,0.00844287,0.000894317,3900.09,413.12,0
run0165,det_h1-1,0.00823911,0.000668228,3805.97,308.681,0
run0165,det_h1-2,0.00551836,0.00115177,2549.14,532.046,0
run0165,det_h1-3,0.0111401,0.00148792,5146.05,687.327,0
run0165,det_h1-4,0.0117416,0.00105811,5423.89,488.784,0
run0167,det_h0-0,0.00881235,0.000545282,4133.49,255.768,1
run0167,det_h0-1,0.00794615,0.000589704,3727.19,276.604,1
run0167,det_h0-2,0.000203318,8.13774e-06,95.3674,3.81705,1
run0167,det_h0-3,0.00616682,0.000616383,2892.58,289.118,0
run0167,det_h0-4,0.00652772,0.000469671,3061.86,220.302,0
run0167,det_h0-5,0.00788251,0.00128773,3697.34,604.019,0
run0167,det_h0-6,0.00717038,0.000628395,3363.31,294.753,1
run0167,det_h0-7,0.00684009,0.000559069,3208.39,262.235,0
run0167,det_h1-0,0.00698439,0.00047452,3276.07,222.577,0
run0167,det_h1-1,0.00631177,0.000431557,2960.57,202.424,0
run0167,det_h1-2,0.00321479,0.000862235,1507.92,404.437,0
run0167,det_h1-3,0.00652073,0.0010563,3058.59,495.465,0
run0167,det_h1-4,0.00856212,0.000680203,4016.11,319.053,0
run0168,det_h0-0,0.000375866,7.2222e-06,95.3674,1.83247,1
run0168,det_h0-1,0.0383548,0.0011507,9731.64,291.963,0
run0168,det_h0-2,0.0131831,0.00189782,3344.92,481.528,0
run0168,det_h0-3,0.000375866,1.23664e-05,95.3674,3.13769,1
run0168,det_h0-4,0.029714,0.00105707,7539.23,268.207,0
run0168,det_h0-5,0.0299005,0.00389559,7586.57,988.417,0
run0168,det_h0-6,0.0305463,0.00286205,7750.43,726.179,0
run0168,det_h0-7,0.0280151,0.00100034,7108.19,253.814,0
run0168,det_h1-0,0.020292,0.00197234,5148.63,500.435,0
run0168,det_h1-1,0.0301374,0.00106682,7646.68,270.681,0
run0168,det_h1-2,0.0159939,0.000571801,4058.08,145.081,0
run0168,det_h1-3,0.0323203,0.0027417,8200.53,695.644,1
run0168,det_h1-4,0.0393531,0.00113523,9984.96,288.038,0
run0169,det_h0-0,0.0452447,0.00289226,7883.31,503.938,0
run0169,det_h0-1,0.0481974,0.00175984,8397.77,306.629,0
run0169,det_h0-2,0.020265,0.000682391,3530.91,118.898,0
run0169,det_h0-3,0.0260586,0.00250267,4540.38,436.058,0
run0169,det_h0-4,0.0279686,0.00323302,4873.16,563.312,0
run0169,det_h0-5,0.0246277,0.00158749,4291.06,276.599,1
run0169,det_h0-6,0.0398301,0.00204859,6939.87,356.941,1
run0169,det_h0-7,0.0341969,0.0024595,5958.37,428.535,0
run0169,det_h1-0,0.000547343,3.78884e-05,95.3674,6.60156,1
run0169,det_h1-1,0.0373746,0.00183954,6512.04,320.516,0
run0169,det_h1-2,0.0206929,0.000855951,3605.48,149.138,0
run0169,det_h1-3,0.000547343,1.00405e-05,95.3674,1.74942,1
run0169,det_h1-4,0.0510243,0.000974491,8890.33,169.792,0
run0170,det_h0-0,0.0502707,0.00330678,8792.39,578.36,0
run0170,det_h0-1,0.0410455,0.00268257,7178.9,469.183,0
run0170,det_h0-2,0.0155442,0.00293447,2718.7,513.241,0
run0170,det_h0-3,0.0393271,0.00105911,6878.35,185.24,0
run0170,det_h0-4,0.0431781,0.00101926,7551.89,178.269,0
run0170,det_h0-5,0.0427515,0.00116428,7477.29,203.633,0
run0170,det_h0-6,0.0446364,0.00356402,7806.94,623.35,0
run0170,det_h0-7,0.0388277,0.00126944,6791,222.027,1
run0170,det_h1-0,0.0403249,0.0010597,7052.86,185.342,0
run0170,det_h1-1,0.000545265,1.79336e-05,95.3674,3.13661,1
run0170,det_h1-2,0.0248094,0.00165326,4339.18,289.157,0
run0170,det_h1-3,0.0477555,0.00338946,8352.49,592.819,0
run0170,det_h1-4,0.0562884,0.00143914,9844.89,251.707,0
run0171,det_h0-0,0.0687389,0.0023038,10936.9,366.553,0
run0171,det_h0-1,0.065735,0.00300067,10459,477.431,0
run0171,det_h0-2,0.0205667,0.00197725,3272.33,314.596,0
run0171,det_h0-3,0.0429635,0.00688381,6835.83,1095.27,0
run0171,det_h0-4,0.0432865,0.00380749,6887.23,605.802,0
run0171,det_h0-5,0.0550729,0.00109488,8762.54,174.204,0
run0171,det_h0-6,0.0502733,0.00613204,7998.89,975.657,0
run0171,det_h0-7,0.0507829,0.000969928,8079.97,154.323,0
run0171,det_h1-0,0.0419598,0.00327877,6676.13,521.678,0
run0171,det_h1-1,0.0503734,0.00187956,8014.81,299.052,0
run0171,det_h1-2,0.000599388,5.20213e-05,95.3674,8.277,1
run0171,det_h1-3,0.0342896,0.00748367,5455.74,1190.71,0
run0171,det_h1-4,0.0739696,0.00113128,11769.2,179.996,0
run0172,det_h0-0,0.0596275,0.00120362,15376,310.375,0
run0172,det_h0-1,0.0595337,0.00127589,15351.8,329.009,0
run0172,det_h0-2,0.0151212,0.00127703,3899.27,329.303,0
run0172,det_h0-3,0.037179,0.00365244,9587.24,941.844,1
run0172,det_h0-4,0.000369832,1.15055e-05,95.3674,2.9669,1
run0172,det_h0-5,0.0488841,0.00105506,12605.6,272.066,0
run0172,det_h0-6,0.0525041,0.000814186,13539.1,209.952,0
run0172,det_h0-7,0.0356305,0.00301947,9187.94,778.622,1
run0172,det_h1-0,0.0346402,0.00262891,8932.56,677.909,0
run0172,det_h1-1,0.0457407,0.0006889,11795,177.645,1
run0172,det_h1-2,0.000369832,1.45356e-05,95.3674,3.74825,1
run0172,det_h1-3,0.0314812,0.00511486,8117.97,1318.95,0
run0172,det_h1-4,0.0601351,0.00194994,15506.9,502.824,0
run0173,det_h0-0,0.0559006,0.000952049,11475.9,195.447,0
run0173,det_h0-1,0.0536148,0.00138173,11006.6,283.657,0
run0173,det_h0-2,0.0220876,0.00065975,4534.38,135.441,0
run0173,det_h0-3,0.0393212,0.001863,8072.28,382.458,0
run0173,det_h0-4,0.0331155,0.00255527,6798.32,524.573,0
run0173,det_h0-5,0.04179,0.00667595,8579.11,1370.51,0
run0173,det_h0-6,0.0449049,0.00325817,9218.58,668.873,0
run0173,det_h0-7,0.0408608,0.00115968,8388.36,238.073,0
run0173,det_h1-0,0.0408759,0.00233853,8391.46,480.079,1
run0173,det_h1-1,0.0419758,0.000791315,8617.25,162.45,1
run0173,det_h1-2,0.0108359,0.00454418,2224.52,932.879,0
run0173,det_h1-3,0.0366427,0.00504392,7522.42,1035.47,0
run0173,det_h1-4,0.054327,0.003243,11152.9,665.758,0
run0174,det_h0-0,0.063359,0.00098333,9590.64,148.847,0
run0174,det_h0-1,0.062544,0.00151151,9467.29,228.798,0
run0174,det_h0-2,0.0111302,0.00464162,1684.78,702.603,0
run0174,det_h0-3,0.0350067,0.00279926,5298.97,423.723,0
run0174,det_h0-4,0.0384265,0.00336879,5816.61,509.934,0
run0174,det_h0-5,0.0492259,0.00435765,7451.32,659.618,0
run0174,det_h0-6,0.0476651,0.00482801,7215.06,730.815,0
run0174,det_h0-7,0.0372271,0.00438621,5635.06,663.941,0
run0174,det_h1-0,0.0375153,0.00264951,5678.68,401.057,0
run0174,det_h1-1,0.0485162,0.00185968,7343.9,281.5,0
run0174,det_h1-2,0.0190946,0.00724949,2890.35,1097.36,1
run0174,det_h1-3,0.0462294,0.0078489,6997.74,1188.09,0
run0174,det_h1-4,0.0668732,0.00132012,10122.6,199.826,0
run0175,det_h0-0,0.0708738,0.00137358,8476.01,164.271,0
run0175,det_h0-1,0.059926,0.00729116,7166.73,871.972,0
run0175,det_h0-2,0.0242408,0.00373508,2899.03,446.69,0
run0175,det_h0-3,0.0292337,0.00596686,3496.15,713.595,0
run0175,det_h0-4,0.0456094,0.00410046,5454.57,490.386,0
run0175,det_h0-5,0.0571498,0.00207165,6834.71,247.754,0
run0175,det_h0-6,0.0641662,0.00127524,7673.83,152.51,0
run0175,det_h0-7,0.0401986,0.00525322,4807.47,628.248,0
run0175,det_h1-0,0.0457052,0.00439477,5466.02,525.583,1
run0175,det_h1-1,0.000797433,3.82636e-05,95.3674,4.57606,1
run0175,det_h1-2,0.000797433,4.07725e-05,95.3674,4.87611,1
run0175,det_h1-3,0.000797433,1.6338e-05,95.3674,1.95391,1
run0175,det_h1-4,0.000797433,1.71902e-05,95.3674,2.05583,1
run0176,det_h0-0,0.0716517,0.00146877,6752.03,138.408,0
run0176,det_h0-1,0.0709157,0.00563896,6682.67,531.382,0
run0176,det_h0-2,0.0285598,0.00372284,2691.3,350.818,0
run0176,det_h0-3,0.00101203,6.06463e-05,95.3674,5.71494,1
run0176,det_h0-4,0.043265,0.0118053,4077.04,1112.46,0
run0176,det_h0-5,0.0614365,0.00145555,5789.41,137.162,0
run0176,det_h0-6,0.0522016,0.00518508,4919.16,488.611,0
run0176,det_h0-7,0.0484468,0.00386589,4565.33,364.298,0
run0176,det_h1-0,0.0527686,0.00238522,4972.6,224.769,0
run0176,det_h1-1,0.0479806,0.00603391,4521.4,568.599,0
run0176,det_h1-2,0.0310017,0.00132929,2921.42,125.265,0
run0176,det_h1-3,0.00101203,1.62269e-05,95.3674,1.52913,1
run0176,det_h1-4,0.0588563,0.0047032,5546.27,443.201,0
run0177,det_h0-0,0.0665019,0.00414249,5163.21,321.623,0
run0177,det_h0-1,0.0693375,0.0030905,5383.36,239.946,0
run0177,det_h0-2,0.0233471,0.00564048,1812.67,437.927,0
run0177,det_h0-3,0.0470339,0.0014453,3651.71,112.213,0
run0177,det_h0-4,0.0524676,0.0018404,4073.59,142.888,0
run0177,det_h0-5,0.00122833,3.69872e-05,95.3674,2.87169,1
run0177,det_h0-6,0.0522148,0.00856993,4053.96,665.369,1
run0177,det_h0-7,0.0302248,0.0131151,2346.66,1018.26,0
run0177,det_h1-0,0.0529879,0.00163198,4113.98,126.707,0
run0177,det_h1-1,0.0556038,0.00157472,4317.08,122.261,0
run0177,det_h1-2,0.0291976,0.0013688,2266.9,106.274,0
run0177,det_h1-3,0.05938,0.00215729,4610.26,167.492,0
run0177,det_h1-4,0.0671341,0.0017962,5212.29,139.457,1
run0178,det_h0-0,0.043865,0.00411011,3595.13,336.861,0
run0178,det_h0-1,0.0462834,0.0100918,3793.34,827.117,1
run0178,det_h0-2,0.0158419,0.00536991,1298.39,440.112,0
run0178,det_h0-3,0.0332889,0.00508756,2728.33,416.971,0
run0178,det_h0-4,0.0474794,0.0015736,3891.36,128.97,1
run0178,det_h0-5,0.0467173,0.00335258,3828.91,274.774,1
run0178,det_h0-6,0.0450241,0.0070036,3690.13,574.008,1
run0178,det_h0-7,0.0397904,0.00366085,3261.18,300.039,0
run0178,det_h1-0,0.0011636,3.8909e-05,95.3674,3.18894,1
run0178,det_h1-1,0.0011636,4.01682e-05,95.3674,3.29215,1
run0178,det_h1-2,0.0271645,0.0016716,2226.38,137.003,1
run0178,det_h1-3,0.0011636,2.40251e-05,95.3674,1.96908,1
run0178,det_h1-4,0.0582057,0.00191772,4770.48,157.174,0
run0179,det_h0-0,0.0500492,0.00658088,3705.09,487.176,0
run0179,det_h0-1,0.0427101,0.00829837,3161.79,614.32,0
run0179,det_h0-2,0.0235846,0.00197303,1745.95,146.061,0
run0179,det_h0-3,0.0540599,0.00449462,4002,332.733,0
run0179,det_h0-4,0.0134649,0.0101061,996.793,748.141,0
run0179,det_h0-5,0.0315918,0.011124,2338.71,823.499,1
run0179,det_h0-6,0.0216993,0.0109561,1606.38,811.069,0
run0179,det_h0-7,0.00654437,0.00148189,484.473,109.703,1
run0179,det_h1-0,0.0302826,0.0103534,2241.79,766.454,1
run0179,det_h1-1,0.00128824,5.0594e-05,95.3674,3.74543,1
run0179,det_h1-2,0.00128824,5.32241e-05,95.3674,3.94012,1
run0179,det_h1-3,0.00128824,2.24357e-05,95.3674,1.66089,1
run0179,det_h1-4,0.0495952,0.00513576,3671.48,380.195,0
run0180,det_h0-0,0.0426531,0.0067431,2990.84,472.826,1
run0180,det_h0-1,0.0448377,0.00175516,3144.02,123.071,0
run0180,det_h0-2,0.020395,0.00136132,1430.1,95.4558,0
run0180,det_h0-3,0.00136006,5.18916e-05,95.3674,3.63864,1
run0180,det_h0-4,0.0377964,0.00550224,2650.28,385.817,0
run0180,det_h0-5,0.00136006,3.76146e-05,95.3674,2.63753,1
run0180,det_h0-6,0.0398241,0.00199718,2792.46,140.042,0
run0180,det_h0-7,0.00136006,6.65693e-05,95.3674,4.66784,1
run0180,det_h1-0,0.034652,0.00215752,2429.8,151.285,0
run0180,det_h1-1,0.0347221,0.00186757,2434.72,130.954,0
run0180,det_h1-2,0.017704,0.0012751,1241.4,89.4102,0
run0180,det_h1-3,0.00136006,2.78713e-05,95.3674,1.95434,1
run0180,det_h1-4,0.00136006,2.84881e-05,95.3674,1.99758,1
run0181,det_h0-0,0.026976,0.00470148,2275.18,396.527,0
run0181,det_h0-1,0.0221525,0.00472195,1868.36,398.254,0
run0181,det_h0-2,0.00113074,3.60178e-05,95.3674,3.03778,1
run0181,det_h0-3,0.0324577,0.00292872,2737.52,247.011,0
run0181,det_h0-4,0.0313727,0.00186651,2646.01,157.423,0
run0181,det_h0-5,0.00113074,3.71071e-05,95.3674,3.12965,1
run0181,det_h0-6,0.00113074,2.25846e-05,95.3674,1.90481,1
run0181,det_h0-7,0.0261787,0.00568804,2207.93,479.735,1
run0181,det_h1-0,0.0309429,0.00190721,2609.76,160.856,0
run0181,det_h1-1,0.0309247,0.00245596,2608.22,207.138,0
run0181,det_h1-2,0.00113074,4.65307e-05,95.3674,3.92444,1
run0181,det_h1-3,0.00607697,0.00189621,512.538,159.929,0
run0181,det_h1-4,0.0317911,0.0101259,2681.29,854.025,1
run0183,det_h0-0,0.0412189,0.0023934,1832.68,106.415,0
run0183,det_h0-1,0.0398166,0.00297386,1770.32,132.224,0
run0183,det_h0-2,0.0133014,0.00154,591.407,68.4715,0
run0183,det_h0-3,0.016069,0.0137751,714.46,612.471,0
run0183,det_h0-4,0.0273018,0.00436845,1213.89,194.23,0
run0183,det_h0-5,0.0241681,0.00678383,1074.56,301.623,1
run0183,det_h0-6,0.0368472,0.00725315,1638.3,322.49,0
run0183,det_h0-7,0.0289722,0.00287015,1288.16,127.612,1
run0183,det_h1-0,0.0265737,0.00258883,1181.52,115.105,0
run0183,det_h1-1,0.0297141,0.00254166,1321.15,113.007,0
run0183,det_h1-2,0.0179151,0.00255816,796.543,113.741,0
run0183,det_h1-3,0.000665686,0.000715678,29.5977,31.8205,0
run0183,det_h1-4,0.0404214,0.00302275,1797.22,134.398,0
run0184,det_h0-0,0.00164146,3.29209e-05,95.3674,1.91267,1
run0184,det_h0-1,0.0431446,0.00217935,2506.66,126.618,0
run0184,det_h0-2,0.016615,0.0028688,965.313,166.674,0
run0184,det_h0-3,0.00164146,3.82691e-05,95.3674,2.2234,1
run0184,det_h0-4,0.00164146,4.8342e-05,95.3674,2.80862,1
run0184,det_h0-5,0.0314774,0.00258445,1828.8,150.154,0
run0184,det_h0-6,0.00164146,4.61084e-05,95.3674,2.67885,1
run0184,det_h0-7,0.0314254,0.00348048,1825.78,202.212,0
run0184,det_h1-0,0.0328787,0.00233614,1910.22,135.727,0
run0184,det_h1-1,0.00164146,6.34294e-05,95.3674,3.68519,1
run0184,det_h1-2,0.016044,0.00210303,932.138,122.184,1
run0184,det_h1-3,0.00164146,2.98222e-05,95.3674,1.73264,1
run0184,det_h1-4,0.00164146,4.84253e-05,95.3674,2.81346,1
run0185,det_h0-0,0.0394895,0.0025898,1346.43,88.3019,0
run0185,det_h0-1,0.0394437,0.00290887,1344.87,99.1808,0
run0185,det_h0-2,0.0159716,0.00300041,544.567,102.302,0
run0185,det_h0-3,0.00279703,0.000115011,95.3674,3.92141,1
run0185,det_h0-4,0.0332626,0.00421076,1134.12,143.57,0
run0185,det_h0-5,0.00131064,0.000917685,44.6876,31.2894,0
run0185,det_h0-6,0.00279703,0.000140073,95.3674,4.77592,1
run0185,det_h0-7,0.0334649,0.00276602,1141.02,94.3103,1
run0185,det_h1-0,0.0267571,0.00304977,912.31,103.985,1
run0185,det_h1-1,0.0332918,0.0024743,1135.12,84.3637,0
run0185,det_h1-2,0.0223587,0.00564233,762.343,192.381,0
run0185,det_h1-3,0.00273692,0.00115676,93.3181,39.4408,0
run0185,det_h1-4,0.0421931,0.00319915,1438.62,109.078,0
run0186,det_h0-0,0.0399593,0.00262234,1471.02,96.5363,1
run0186,det_h0-1,0.0420505,0.00284576,1548.01,104.761,0
run0186,det_h0-2,0.0172256,0.00235521,634.128,86.7023,0
run0186,det_h0-3,0.0106539,0.00443731,392.202,163.351,0
run0186,det_h0-4,0.0220034,0.00966344,810.013,355.74,0
run0186,det_h0-5,0.00259654,0.00148434,95.5864,54.643,0
run0186,det_h0-6,0.0314445,0.00237686,1157.56,87.4993,0
run0186,det_h0-7,0.0295517,0.002647,1087.89,97.4441,0
run0186,det_h1-0,0.0343696,0.00349578,1265.25,128.69,0
run0186,det_h1-1,0.0262351,0.00301179,965.793,110.873,0
run0186,det_h1-2,0.0132712,0.00193519,488.554,71.2401,0
run0186,det_h1-3,0.00259059,9.53603e-05,95.3674,3.5105,1
run0186,det_h1-4,0.0428037,0.00286465,1575.73,105.456,1
run0187,det_h0-0,0.042305,0.00332387,975.679,76.6585,0
run0187,det_h0-1,0.0426944,0.00331981,984.66,76.5648,0
run0187,det_h0-2,0.0203835,0.00332836,470.105,76.7621,0
run0187,det_h0-3,0.0174345,0.0145944,402.091,336.591,0
run0187,det_h0-4,0.0311488,0.00344005,718.384,79.338,0
run0187,det_h0-5,0.0351291,0.00355876,810.182,82.0758,1
run0187,det_h0-6,0.0389141,0.00273692,897.475,63.1215,0
run0187,det_h0-7,0.0319774,0.00507457,737.495,117.035,0
run0187,det_h1-0,0.00413508,0.000533667,95.3674,12.308,1
run0187,det_h1-1,0.0341775,0.00296195,788.236,68.3114,0
run0187,det_h1-2,0.018673,0.00264162,430.655,60.9236,0
run0187,det_h1-3,0.00413508,0.000190015,95.3674,4.38231,1
run0187,det_h1-4,0.0386943,0.00472843,892.406,109.052,0
run0188,det_h0-0,0.0474891,0.00593786,1336.82,167.151,0
run0188,det_h0-1,0.0565404,0.00290161,1591.61,81.6803,0
run0188,det_h0-2,0.0189028,0.0017541,532.114,49.378,1
run0188,det_h0-3,0.0160619,0.00766819,452.143,215.86,0
run0188,det_h0-4,0.0426401,0.00329161,1200.32,92.6587,0
run0188,det_h0-5,0.0410281,0.00905362,1154.94,254.859,0
run0188,det_h0-6,0.0392791,0.00311217,1105.71,87.6076,1
run0188,det_h0-7,0.0351416,0.0031317,989.236,88.1574,0
run0188,det_h1-0,215.778,215.774,6.07414e+06,6.07404e+06,0
run0188,det_h1-1,0.0333598,0.00273218,939.078,76.9108,0
run0188,det_h1-2,0.0201757,0.00211905,567.946,59.6511,0
run0188,det_h1-3,0.0336822,0.00252646,948.154,71.1198,0
run0188,det_h1-4,0.0485923,0.0185878,1367.87,523.246,1
run0189,det_h0-0,0.0592248,0.0053147,2177.34,195.39,0
run0189,det_h0-1,0.00259404,0.000100315,95.3674,3.68797,1
run0189,det_h0-2,0.0219979,0.00177934,808.732,65.4155,1
run0189,det_h0-3,0.0371901,0.00235337,1367.26,86.5192,1
run0189,det_h0-4,0.0435811,0.00238655,1602.22,87.7392,0
run0189,det_h0-5,0.0452886,0.00247382,1664.99,90.9476,0
run0189,det_h0-6,0.0338524,0.00596368,1244.55,219.249,0
run0189,det_h0-7,0.0413381,0.00247177,1519.75,90.8722,0
run0189,det_h1-0,0.0353153,0.00200003,1298.33,73.5293,0
run0189,det_h1-1,933.279,671.342,3.43111e+07,2.46812e+07,1
run0189,det_h1-2,0.0605203,0.000695117,2224.97,25.5553,1
run0189,det_h1-3,0.020022,0.014903,736.091,547.894,0
run0189,det_h1-4,0.0634582,0.00370945,2332.98,136.374,0
run0190,det_h0-0,0.0594988,0.00839515,2371.56,334.622,0
run0190,det_h0-1,0.060437,0.00245714,2408.96,97.939,1
run0190,det_h0-2,0.0243625,0.00155379,971.064,61.9327,1
run0190,det_h0-3,0.00239262,0.000298388,95.3674,11.8934,1
run0190,det_h0-4,0.0429253,0.00224842,1710.96,89.6198,0
run0190,det_h0-5,0.0460255,0.00803145,1834.53,320.125,0
run0190,det_h0-6,0.0501131,0.00225869,1997.46,90.0293,0
run0190,det_h0-7,0.0443524,0.00282822,1767.84,112.73,0
run0190,det_h1-0,0.0496133,0.00407984,1977.53,162.618,0
run0190,det_h1-1,0.055104,0.00258847,2196.39,103.174,0
run0190,det_h1-2,0.0317915,0.00279055,1267.18,111.229,0
run0190,det_h1-3,0.029198,0.0327004,1163.8,1303.4,1
run0190,det_h1-4,0.0412638,0.00795091,1644.73,316.915,0
run0191,det_h0-0,0.0458854,0.0148013,1891.99,610.303,0
run0191,det_h0-1,0.0505184,0.0126505,2083.03,521.62,0
run0191,det_h0-2,0.020968,0.00567237,864.572,233.889,0
run0191,det_h0-3,0.0495812,0.00512661,2044.38,211.386,0
run0191,det_h0-4,0.0524493,0.00207757,2162.64,85.6644,0
run0191,det_h0-5,0.0246236,0.0218106,1015.31,899.315,0
run0191,det_h0-6,0.0385049,0.00843626,1587.67,347.852,0
run0191,det_h0-7,0.0385519,0.00709984,1589.61,292.748,0
run0191,det_h1-0,0.0380694,0.00839296,1569.72,346.067,0
run0191,det_h1-1,0.00231289,0.000268199,95.3674,11.0586,1
run0191,det_h1-2,0.0259817,0.00184632,1071.3,76.1291,0
run0191,det_h1-3,0.0583031,0.00323405,2404.01,133.349,1
run0191,det_h1-4,0.0641029,0.00858082,2643.15,353.813,0
run0192,det_h0-0,0.0509621,0.0047731,3027.61,283.565,0
run0192,det_h0-1,0.0546373,0.00612668,3245.95,363.98,0
run0192,det_h0-2,0.0227464,0.00430316,1351.34,255.647,0
run0192,det_h0-3,0.0459826,0.00212526,2731.78,126.26,0
run0192,det_h0-4,0.0493068,0.00768479,2929.27,456.546,0
run0192,det_h0-5,0.0466074,0.00778624,2768.9,462.573,0
run0192,det_h0-6,0.038502,0.00534033,2287.37,317.264,0
run0192,det_h0-7,0.0287747,0.0059063,1709.48,350.887,0
run0192,det_h1-0,0.0378586,0.00765739,2249.14,454.918,1
run0192,det_h1-1,0.0481355,0.00167652,2859.68,99.6002,0
run0192,det_h1-2,0.0105692,0.00374029,627.907,222.207,0
run0192,det_h1-3,0.0302085,0.00714813,1794.66,424.663,1
run0192,det_h1-4,0.0438156,0.00592842,2603.04,352.201,0
run0193,det_h0-0,0.0453132,0.00202127,2854.5,127.33,0
run0193,det_h0-1,0.0220539,0.00322611,1389.28,203.229,1
run0193,det_h0-2,0.00835869,0.00461446,526.556,290.688,0
run0193,det_h0-3,0.0357826,0.00176756,2254.12,111.347,0
run0193,det_h0-4,0.0221213,0.00564482,1393.53,355.596,0
run0193,det_h0-5,0.0207348,0.00501528,1306.19,315.938,0
run0193,det_h0-6,0.0244105,0.00419386,1537.74,264.192,0
run0193,det_h0-7,0.0316352,0.00142393,1992.86,89.7008,0
run0193,det_h1-0,0.0344515,0.00143707,2170.27,90.5284,0
run0193,det_h1-1,0.0380076,0.00157269,2394.29,99.0714,0
run0193,det_h1-2,0.0220523,0.00158188,1389.18,99.6503,1
run0193,det_h1-3,0.0409545,0.00214627,2579.93,135.204,0
run0193,det_h1-4,0.0468211,0.00170411,2949.49,107.35,0
run0194,det_h0-0,0.0176907,0.00224989,1761.11,223.976,0
run0194,det_h0-1,0.0177407,0.00237044,1766.09,235.977,0
run0194,det_h0-2,0.0128628,0.000954002,1280.49,94.9709,0
