,a0,a1,a2,a3,a4,a5,a6
4.29319,3.067594228951641e-05,0.0,6.164825172700449e-06,0.0,2.8163702347950044e-06,0.0,-2.4627656365150577e-06
4.2942,3.539640511818882e-05,0.0,6.784245365260658e-06,0.0,-2.3431163901257433e-06,0.0,4.081597886100727e-06
4.29515,4.235598173284447e-05,0.0,9.095795671021862e-06,0.0,2.7706337085313017e-07,0.0,5.372956107949063e-06
4.29615,4.6605236390308754e-05,0.0,1.4585242525558118e-05,0.0,-4.156089668240425e-06,0.0,1.6977923712676421e-06
4.297219999999999,7.253611236877837e-05,0.0,1.574510437851022e-05,0.0,-4.760034683177023e-06,0.0,8.799134075200816e-06
4.298080000000001,0.00020698022850622973,0.0,6.770868326195654e-05,0.0,-2.0020649479791276e-06,0.0,1.582633251036237e-05
4.2990900000000005,0.00032902519003189646,0.0,0.00011063123446682438,0.0,-1.8880856245897846e-05,0.0,3.259940565875275e-05
4.30105,0.0004947807458041805,0.0,0.00014524716350540023,0.0,-2.392890920930487e-05,0.0,1.2415696481736785e-05
4.3031,0.0004975913532716015,0.0,0.00015510079146882212,0.0,-1.7735296582372338e-05,0.0,3.365650122518479e-05
4.30523,0.0004617225579845905,0.0,0.0001297115541953121,0.0,-3.754620751869234e-05,0.0,5.827536510998042e-05
4.30725,0.00043948172563990084,0.0,0.00013101233758065536,0.0,-2.648548239685631e-05,0.0,4.545772257701031e-05
4.3093,0.0004425893817950319,0.0,0.00012682356279678812,0.0,-3.3444764797029127e-05,0.0,4.509383170090152e-05
4.30996,0.00044818860324371114,0.0,0.00011709998502840946,0.0,-1.860770573991117e-05,0.0,3.1434811552669675e-05
4.31117,0.0004310365676897569,0.0,0.00011626566693485726,0.0,-2.6159052202705908e-05,0.0,4.259311518024311e-05
4.31311,0.00043726971512605376,0.0,0.0001330666975070209,0.0,-2.9346020226495446e-05,0.0,4.188966028878513e-05
4.31513,0.0004332548533179879,0.0,0.00014050873221610653,0.0,-3.512693025656638e-05,0.0,6.23971331808659e-05
4.3172,0.0004218658259932705,0.0,0.0001126122283090927,0.0,-1.1773664224879228e-05,0.0,3.9949984163815005e-05
4.31917,0.0004136533714004131,0.0,0.00012159646737700669,0.0,-1.7179558030093904e-05,0.0,2.9595334925923665e-05
4.32116,0.00038345329147357516,0.0,0.00011072758545552167,0.0,-2.2462316696399055e-05,0.0,4.758416450943824e-05
4.32298,0.00034874015699782826,0.0,0.00010085948106415816,0.0,-2.171838333743975e-05,0.0,5.365199950733835e-05
4.32521,0.00028288244471468525,0.0,8.6755860573904e-05,0.0,-1.5708258756741676e-05,0.0,2.6653031250966618e-05
4.32711,0.0002260393383310146,0.0,6.23058123868276e-05,0.0,-1.3020843696786877e-05,0.0,2.0309288099679202e-05
4.32908,0.00015206375943251882,0.0,4.612029722754551e-05,0.0,-1.0101806540142289e-05,0.0,2.5006340413242073e-05
4.33012,0.00021513631963907218,0.0,6.060311723466886e-05,0.0,-9.949993656657638e-06,0.0,1.7871406340399017e-05
4.33119,0.00010785254022138058,0.0,3.221210668547057e-05,0.0,-6.237151373992906e-06,0.0,1.0631159760759294e-05
4.33324,7.349777234430169e-05,0.0,1.3434631306073609e-05,0.0,-3.344445135507607e-06,0.0,5.52731870515652e-06
4.33515,5.570871986463381e-05,0.0,1.0728031570994592e-05,0.0,-3.413365341835638e-06,0.0,5.263148175617951e-06
4.34004,3.357297589641153e-05,0.0,7.055178864535391e-06,0.0,-2.2837547746615345e-06,0.0,3.9423900381878755e-06
4.34488,3.005755012658093e-05,0.0,2.3553235080983243e-06,0.0,-5.598711649629955e-06,0.0,5.135482787379511e-06
4.34998,2.8469722886545794e-05,0.0,2.2682008843645943e-06,0.0,-3.0711240310175575e-06,0.0,2.8897491002137156e-06
4.37005,3.1395170957229025e-05,0.0,1.056955412414104e-06,0.0,-5.531398565377013e-06,0.0,1.9788017855888336e-06
4.39015,4.0039223919322856e-05,0.0,-3.1497474751312906e-06,0.0,1.7900857636098664e-06,0.0,1.8257095824972526e-06
4.41003,5.4783164457367037e-05,0.0,-4.438418937659188e-06,0.0,-3.1732404335520008e-06,0.0,7.34808200718876e-06
4.42024,7.994386854002213e-05,0.0,-3.9538729243492046e-06,0.0,-6.427039905079764e-06,0.0,7.651682299651728e-06
4.43018,0.00010002665584701765,0.0,-7.807215913853855e-06,0.0,-5.151130088286448e-06,0.0,6.740813906157917e-06
4.44004,0.00018892472758809978,0.0,-1.602953786883018e-05,0.0,-6.975109375333262e-06,0.0,1.287546054258768e-05
4.44994,0.0002958574848245648,0.0,-3.584754030405349e-05,0.0,-1.271678923403825e-05,0.0,1.649578080324092e-05
4.4549900000000004,0.0006943318416452267,0.0,-9.07606860631984e-05,0.0,-3.852109630857704e-06,0.0,2.550407139439519e-05
4.46012,0.0010358795528964096,0.0,-0.00011269717621002264,0.0,-4.054450143665027e-05,0.0,8.982115522761812e-05
4.4699599999999995,0.0010954528804734062,0.0,-0.000158654569104251,0.0,-6.46094936261688e-05,0.0,0.00012882772477364028
4.4779800000000005,0.0008066669062454145,0.0,-0.00010468362417012874,0.0,-2.0813142621156105e-05,0.0,6.575334052642775e-05
4.48613,0.00038529095272882936,0.0,-3.944108008108316e-05,0.0,-3.273733393982509e-05,0.0,4.1594756384277594e-05
4.48819,0.00028357126776925483,0.0,-3.1154174352479374e-05,0.0,-7.970517345190838e-06,0.0,1.507915757110807e-05
4.490069999999999,0.00037555569207380367,0.0,-5.4392486553104254e-05,0.0,-1.3463184853984568e-05,0.0,3.89600905884141e-05
4.49222,0.00014457364623854136,0.0,-1.2308080083469209e-05,0.0,-8.450507498299217e-06,0.0,1.885608525044116e-05
4.4949900000000005,9.717580459640521e-05,0.0,-2.8223645227862373e-06,0.0,-6.26634337894491e-06,0.0,1.0248879742194723e-05
4.499969999999999,5.500156505088754e-05,0.0,3.3620225879098252e-06,0.0,-3.2023646485884877e-06,0.0,6.530338808667588e-06
4.51021,4.161618288173282e-05,0.0,2.414418169121498e-06,0.0,2.2267808283601693e-06,0.0,7.303991521396358e-07
4.51218,9.510270867653926e-05,0.0,2.288151702239679e-05,0.0,-1.41531324794996e-06,0.0,8.310144204558678e-06
4.51508,0.00027607490514407705,0.0,7.187392575208464e-05,0.0,-2.2383436568841376e-05,0.0,4.1916207392967196e-05
4.52007,0.00048215236873492753,0.0,0.00010716144140510501,0.0,-1.0696493566161427e-05,0.0,3.6547028593655866e-05
4.52524,0.0008774091208389401,0.0,0.0001611591540806262,0.0,-5.2961542306025116e-05,0.0,0.00010363397331705358
4.5294099999999995,0.000874487988089098,0.0,0.00017329014424612496,0.0,-3.2411417326930004e-05,0.0,7.080796765036844e-05
4.53506,0.0015248410757841783,0.0,0.00025769729105868083,0.0,-3.946186920761281e-05,0.0,9.022559180604107e-05
4.54024,0.0016960222756630561,0.0,0.000251447183861916,0.0,-8.82434561691779e-05,0.0,0.0001439386586075847
4.5498,0.0021859952383388617,0.0,0.00012385028451666874,0.0,-8.05223612661283e-05,0.0,0.00011434601663676384
4.56018,0.0033102031070547616,0.0,-0.00011771721123983355,0.0,-0.00010921161708593801,0.0,0.0002689978110053647
4.570130000000001,0.0030522409287377793,0.0,-0.00017629678170053503,0.0,-8.332037773187353e-05,0.0,0.00023944258553280643
4.580030000000001,0.001558374735424028,0.0,-9.441049420107549e-05,0.0,-8.787144965779896e-05,0.0,0.00017182203984611233
4.59008,0.0008327379433894788,0.0,-4.1288756140853756e-05,0.0,-6.921123721980378e-06,0.0,2.098748571203358e-05
4.60027,0.0006751073312499927,0.0,8.325567206401735e-05,0.0,-3.630323790355882e-05,0.0,4.871505266690885e-05
4.60999,0.0015203375529094087,0.0,0.0003235954456165979,0.0,-5.7288306055523255e-05,0.0,9.836882901164503e-05
4.62023,0.0017079648951078895,0.0,0.0003942490951776192,0.0,-6.244095828349501e-05,0.0,0.00013145222000145878
4.62994,0.001240230391687003,0.0,0.00036318724856136887,0.0,-7.925180270441282e-05,0.0,6.256406313323878e-05
4.63517,0.0006578640688028214,0.0,0.0001428212496961111,0.0,-3.960091783234899e-05,0.0,3.447353836017605e-05
4.639959999999999,0.00039088978111663655,0.0,6.940753070327631e-05,0.0,-3.092176404477444e-05,0.0,2.014629259849629e-05
4.64996,0.00032212885808925387,0.0,2.9134775331503894e-05,0.0,-6.053089724893423e-06,0.0,2.7620159744440223e-05
4.67012,0.00016731807325555693,0.0,2.1235427631392457e-05,0.0,-8.844432993740525e-06,0.0,6.794876737146526e-06
4.68015,8.847016799913126e-05,0.0,1.0773013952537744e-05,0.0,-5.8187419535361065e-06,0.0,5.9828835749336445e-06
4.68993,6.772955918989608e-05,0.0,8.022752533809529e-06,0.0,-5.995366999356497e-06,0.0,5.627274767288212e-06
4.71002,5.421675886423959e-05,0.0,4.829547249250211e-06,0.0,5.969601157697555e-07,0.0,1.7582490100022096e-06
4.73,4.982757804877422e-05,0.0,8.708018288409988e-06,0.0,-1.0238310518857141e-06,0.0,-5.82499207028635e-07
4.75,6.803488650937216e-05,0.0,9.061714572297033e-06,0.0,-7.413692638433262e-07,0.0,4.759046662534517e-06
4.75518,0.00012149883575950977,0.0,1.5105373298979036e-05,0.0,1.7671775071350033e-06,0.0,1.9898698409169916e-06
4.75888,0.00013910425225150145,0.0,1.3372307837484077e-05,0.0,-7.174080296198078e-06,0.0,7.659770966505535e-06
4.77004,0.00016842693427993952,0.0,2.044599093635309e-05,0.0,-3.793692474170662e-06,0.0,1.1477224743290688e-05
4.77502,0.00025597121769653736,0.0,3.728030689314635e-05,0.0,-1.1037997071731161e-05,0.0,1.934007675849363e-05
4.7801800000000005,0.0005441207882288295,0.0,0.00012735391249248869,0.0,-7.599860705650912e-05,0.0,6.251437621488859e-05
4.79012,0.0006787678696708377,0.0,0.0001475265674041459,0.0,-1.6335996655462294e-05,0.0,4.8803150670278303e-05
4.799919999999999,0.0005598701644521898,0.0,0.00011432543039993841,0.0,-8.859065020824214e-06,0.0,1.2812625054709228e-05
4.81003,0.00026834614367967605,0.0,5.355901834559909e-05,0.0,3.533356317806874e-07,0.0,2.360517679775744e-05
4.8121599999999995,0.0001290228888478994,0.0,3.0424137075872505e-05,0.0,-2.3946573711239812e-06,0.0,7.1665253551287605e-06
4.81527,7.973383053454246e-05,0.0,2.0264482161969165e-05,0.0,6.037215122975169e-07,0.0,3.949448137187618e-06
4.82006,4.363474793548385e-05,0.0,1.1049660727623603e-05,0.0,-2.0873236930867215e-06,0.0,-1.6470513228396122e-06
4.82989,2.844755544736939e-05,0.0,3.0387807448895524e-06,0.0,-8.394705643318948e-07,0.0,2.8029442646619173e-07
4.85003,2.0125075175402112e-05,0.0,1.938819098360078e-06,0.0,2.3740724000122935e-06,0.0,-6.72964921179688e-07
4.86629,1.985536041692125e-05,0.0,2.825244417924155e-06,0.0,7.648839317338226e-07,0.0,1.222079241061994e-06
4.88989,2.3377586105147078e-05,0.0,3.625585424889586e-06,0.0,-7.258397233423483e-07,0.0,2.193741007829442e-06
4.89991,4.294501684781023e-05,0.0,2.7815170220030414e-06,0.0,-3.7432502471502546e-06,0.0,2.695006708261273e-06
4.9101300000000005,6.25286742914639e-05,0.0,-3.5917646202471105e-06,0.0,-1.6510245359820124e-06,0.0,4.557503529152853e-06
4.91996,7.819894955284214e-05,0.0,-1.991044793799124e-06,0.0,-2.6637821209817025e-06,0.0,-3.8131300106456466e-07
4.92615,8.0300193174177e-05,0.0,-1.7581472873300215e-06,0.0,-4.93860209619202e-07,0.0,7.571686295897516e-07
4.9301900000000005,8.109441319013679e-05,0.0,9.137054902077483e-07,0.0,-2.756656198218135e-06,0.0,4.985255103160296e-06
4.93692,7.74678076618299e-05,0.0,2.551058046987263e-06,0.0,-1.7275936069658452e-07,0.0,7.514580575372896e-06
