,a0,a1,a2,a3,a4,a5,a6,a7,a8
4.30725,0.00043717066418490403,0.0,0.00013332929476232895,0.0,-3.273982912318215e-05,0.0,2.5217481448534488e-05,0.0,3.360370353248598e-05
4.3093,0.00044152900390795417,0.0,0.0001280098053320773,0.0,-3.6847171391315326e-05,0.0,3.520110792246834e-05,0.0,1.6843405898689616e-05
4.30996,0.0004477897953322817,0.0,0.00011758787162489003,0.0,-2.0021283365643697e-05,0.0,2.753126885379336e-05,0.0,6.715068663869793e-06
4.31117,0.0004309709256465591,0.0,0.0001163444379439819,0.0,-2.641564772503566e-05,0.0,4.18801056844899e-05,0.0,1.2179374923773107e-06
4.31311,0.0004352157215354904,0.0,0.000135081126030624,0.0,-3.471377857548377e-05,0.0,2.3334256016000396e-05,0.0,3.051803817535338e-05
4.31513,0.0004313286328964572,0.0,0.0001423728528080334,0.0,-4.026915910323571e-05,0.0,4.41497024230071e-05,0.0,2.959342757682719e-05
4.3172,0.00042046049257571876,0.0,0.00011414944112515726,0.0,-1.613267586311364e-05,0.0,2.6844880094508954e-05,0.0,2.2013360315939727e-05
4.31917,0.00041098463025104713,0.0,0.00012444081418550558,0.0,-2.3766457482000784e-05,0.0,8.510376625308846e-06,0.0,3.521122142865825e-05
4.32116,0.00038242490526490614,0.0,0.00011183807518043452,0.0,-2.5913050482857932e-05,0.0,3.7137758608925014e-05,0.0,1.7392372121932032e-05
4.32298,0.00034764710415231506,0.0,0.00010204058087760125,0.0,-2.5458154263466255e-05,0.0,4.246890789324295e-05,0.0,1.8607135703285567e-05
4.32521,0.00028217105466012637,0.0,8.751626011921163e-05,0.0,-1.785484888133011e-05,0.0,1.9533126974932163e-05,0.0,1.1647487950110426e-05
4.32711,0.00022544913437705187,0.0,6.298802951260394e-05,0.0,-1.4983872070627119e-05,0.0,1.4726036788549755e-05,0.0,9.478156650288955e-06
