,a0,a2,a4,a6,a0_err,a2_err,a4_err,a6_err,Chi2,Pval,Chi2NDF
4.67012,0.0002158794762684944,9.885229015127881e-05,-0.00024643318726880127,1.8296120076649716e-05,5.8141291729964685e-06,9.26213267342216e-06,1.2884436547201978e-05,1.2817076909580373e-05,0.6276114135563147,0.8900832903114473,0.20920380451877155
4.68015,0.00014845520814128993,5.954968389700749e-05,-0.00013280073578036394,7.742105914988851e-06,3.944389615196166e-06,6.6866001111254606e-06,9.07771090521923e-06,9.377129994123974e-06,0.5471908086563552,0.9084079932799085,0.18239693621878506
4.68993,0.00010421439622647634,4.955318229650121e-05,-9.249342271571014e-05,1.4619633622422912e-05,2.8297338448774585e-06,4.844403944910184e-06,6.582435367333956e-06,6.951880150708195e-06,0.8535006523381916,0.8366321345869305,0.28450021744606385
4.71002,8.848024989009267e-05,4.0023936683906145e-05,-5.914470144380934e-05,8.979975097478819e-06,2.247969590650322e-06,4.004946622979529e-06,5.3067202319953964e-06,5.822377793558108e-06,3.560071020437442,0.31305427698496857,1.186690340145814
4.73,9.660343830494203e-05,4.604198605108659e-05,-6.977689325851333e-05,1.0483032261132975e-05,2.5349639673825172e-06,4.514021060235683e-06,5.962542947716089e-06,6.523460109186231e-06,3.432814604949562,0.3295809492336379,1.1442715349831873
4.75,0.00015767586191828712,7.563626533051919e-05,-0.0001422959867066333,1.9391175408997905e-05,4.04564642427594e-06,6.871728331396716e-06,9.049777599234e-06,9.756815463068835e-06,1.7044219027215521,0.6359511532912228,0.5681406342405174
4.75518,0.0003238325144627145,0.0001611463185561117,-0.00035726962732806163,2.6022254312397966e-05,8.301684563796693e-06,1.3265182029693291e-05,1.7972015534197528e-05,1.831849702119324e-05,1.4657380857858842,0.6902002337911173,0.48857936192862805
4.75888,0.00032995511390110214,0.000158625127512343,-0.0003472953323943128,2.3539625474657764e-05,8.423928584239357e-06,1.3607748882453915e-05,1.836129187608619e-05,1.8848082385168413e-05,1.3239984825135607,0.7234424411036187,0.44133282750452024
4.77004,0.00031305537730523243,0.00015445675204479127,-0.0003080622730453313,3.436366459401885e-05,8.114349983356614e-06,1.3481227794762716e-05,1.8007403167170614e-05,1.9021573251547068e-05,2.035109079011863,0.5651517545075944,0.6783696930039543
4.77502,0.0002498527840143593,0.00011958927092956902,-0.0002122526935200282,3.257829620784757e-05,6.938971665398638e-06,1.2185691488422687e-05,1.6164638481967644e-05,1.733903493304926e-05,2.825730598079344,0.41928169961794104,0.9419101993597813
4.7801800000000005,0.00017634003679513403,9.736789347639284e-05,-0.00013364729452639733,3.528889844209686e-05,6.529700686069802e-06,1.2363543981471752e-05,1.586578446197169e-05,1.7300079404045622e-05,1.6818323481828439,0.6409804054246615,0.5606107827276147
