,a0,a1,a2,a3,a4
4.32711,7.288603039027955e-05,0.0,4.564189834286104e-05,0.0,-9.174836926205254e-05
4.32908,5.889823492197484e-05,0.0,3.647713671274032e-05,0.0,-6.686460072088757e-05
4.33012,6.909096110855622e-05,0.0,4.621617830870321e-05,0.0,-9.235431294762592e-05
4.33119,4.983281591072698e-05,0.0,2.215664100865995e-05,0.0,-4.22006974229736e-05
4.33324,5.212496319490637e-05,0.0,2.422430215152824e-05,0.0,-3.151540353261457e-05
4.33515,5.0648602787291036e-05,0.0,2.241744424436415e-05,0.0,-2.6341572567140453e-05
4.34004,4.462604470157458e-05,0.0,1.824172925601763e-05,0.0,-1.6675456506776542e-05
4.34488,4.2177446992401703e-05,0.0,1.5777378035775675e-05,0.0,-1.6429245768803405e-05
4.34998,4.147539417293862e-05,0.0,1.4360579437284598e-05,0.0,-1.560586989086694e-05
4.37005,3.5021047432785824e-05,0.0,8.24889221629457e-06,0.0,-1.0415524709148294e-05
4.39015,3.453264031021356e-05,0.0,9.065589795248455e-06,0.0,-9.095841586088741e-06
4.41003,3.793385796271756e-05,0.0,9.252708635874187e-06,0.0,-1.310512645705815e-05
4.42024,3.854332711042243e-05,0.0,1.1148969010128247e-05,0.0,-1.0112754398341557e-05
4.43018,3.884794285735672e-05,0.0,1.248064270307176e-05,0.0,-1.3720004271719487e-05
4.44004,3.311648150465146e-05,0.0,1.6236026584688117e-05,0.0,-1.7708167972903518e-05
4.44994,3.474765746422347e-05,0.0,1.6511109624221723e-05,0.0,-1.7998100293661986e-05
4.4549900000000004,1.9735889117937807e-05,0.0,1.1480218142502031e-05,0.0,-1.0898045261393456e-05
4.46012,2.096652034243443e-05,0.0,6.879131930045869e-06,0.0,-1.0623359849741488e-05
4.4699599999999995,2.1104575249298133e-05,0.0,9.468099916767273e-06,0.0,-9.072676725879748e-06
4.4779800000000005,3.076717197003396e-05,0.0,1.9605208554626435e-05,0.0,-2.9882793600992474e-05
4.48613,3.74632839222037e-05,0.0,2.729616883776075e-05,0.0,-2.244447993695039e-05
4.48819,4.4191775026071014e-05,0.0,2.5279740361268958e-05,0.0,-2.7547842066663996e-05
4.490069999999999,4.271915513880324e-05,0.0,2.9250272389096287e-05,0.0,-2.5148197935375356e-05
4.49222,4.86297822398672e-05,0.0,2.765481656551055e-05,0.0,-2.3779866199684903e-05
4.4949900000000005,5.4354663663293085e-05,0.0,2.9793089595516554e-05,0.0,-2.39065064173136e-05
4.499969999999999,5.813475142500338e-05,0.0,3.065356220819712e-05,0.0,-2.8558667576076365e-05
