,a0,a2,a4,a0_err,a2_err,a4_err,Chi2,Pval,Chi2NDF
4.37005,3.446380050034004e-05,9.529112975087472e-06,-1.0694520494597702e-05,1.0063611176397266e-06,1.679636459608505e-06,2.237464815583953e-06,15.197633142306556,0.004308385731117914,3.799408285576639
4.39015,3.42622039487366e-05,1.0309081197159042e-05,-1.0196391001380316e-05,1.0319303508414402e-06,1.7296360950014888e-06,2.301100632766225e-06,16.15045488725938,0.002823779618605027,4.037613721814845
4.41003,3.780255745940953e-05,9.675438509393562e-06,-1.3417052151486306e-05,1.135431929167188e-06,1.927297272062915e-06,2.509181437331254e-06,18.173580338572766,0.0011413271745412956,4.543395084643191
4.42024,3.8753444336845096e-05,1.149878696608678e-05,-1.0287094559071102e-05,1.2555963891963575e-06,2.2042482790225572e-06,2.8067284351641237e-06,7.612510889664792,0.10684916011109391,1.903127722416198
4.43018,3.9002931121461364e-05,1.349946281365308e-05,-1.4130198579002975e-05,1.2521426629024099e-06,2.1417858120719603e-06,2.7898004115601597e-06,6.766429759153354,0.1487583006153922,1.6916074397883385
4.44004,3.3528001916198016e-05,1.650289681245322e-05,-1.666258059701641e-05,1.7618923373453915e-06,3.0916556149656384e-06,3.836192908396658e-06,7.965979959202481,0.09283237131224453,1.9914949898006202
4.44994,3.349238851338111e-05,2.125091102287224e-05,-1.9555651025299342e-05,1.917025049077288e-06,2.979314520600748e-06,4.143601281575166e-06,13.64023438747304,0.008536385085592069,3.41005859686826
4.4549900000000004,1.997511949454252e-05,1.1594831457195406e-05,-8.96026770807707e-06,2.9265958686575075e-06,5.909207084198047e-06,6.738286911185414e-06,1.1445992976570853,0.8871330067416813,0.28614982441427134
4.46012,2.131144696453896e-05,6.232884471289385e-06,-1.040778247228135e-05,3.9085682993047375e-06,7.686914524283366e-06,8.394863596737956e-06,0.09043678645321919,0.9990079514944651,0.022609196613304797
4.4699599999999995,2.219729493384325e-05,1.368465632358199e-05,-8.940799910350874e-06,3.2830818310344537e-06,5.60228210348564e-06,7.204659063533106e-06,5.061456705176019,0.2810495837050009,1.2653641762940047
4.4779800000000005,2.963882706943104e-05,2.0481399254746057e-05,-2.5831970447822373e-05,3.546594893674867e-06,6.90469933945887e-06,7.787507544387437e-06,0.7373000382705232,0.9466506528882741,0.1843250095676308
