,a0
5.1338099999999995,0.00018169060151245785
5.13888,0.00016109206467046624
5.14165,0.00016195193273566761
5.1447400000000005,0.0001548926081859507
5.14799,0.00015150737229468184
5.15001,0.00016334333243109528
5.150980000000001,0.0001565596506342805
5.15704,0.00015201513681107197
5.15937,0.00015553070317634346
5.17005,0.00015720829253413566
5.18984,0.0001597613389786096
5.210030000000001,0.0001845517691534271
5.23003,0.00021330958865188054
5.2395,0.0002607810337555076
5.24306,0.00026551443393027957
5.25013,0.00033653670161971883
5.25994,0.00041523487564698683
5.26504,0.0004687505491468943
5.26998,0.0004898657582764926
5.27496,0.0005911699460475336
5.27502,0.0006163163998402099
5.2798099999999994,0.0010139851054833387
5.28495,0.0013509333176602524
5.29016,0.0017076814653813942
5.29294,0.0018645074421278617
5.29767,0.001906560668545388
5.29972,0.0019530387209709752
5.30238,0.002015403702902516
5.30823,0.0016063320802945594
5.312880000000001,0.0012791170322327973
5.31752,0.0010199576005700624
5.32281,0.0007677254968112406
5.32768,0.0005829380928863986
5.33288,0.0004713402811748919
5.33291,0.0004999271771630422
5.33747,0.0004634899678709074
5.34274,0.0004237094774843919
5.34293,0.00042936617848583417
5.34694,0.0003855578524475051
5.34826,0.00038303336330905284
5.34858,0.00037893965367953266
5.35205,0.00039292963233860355
5.3536,0.0003636884649142605
5.3579,0.0004375822120683958
5.35797,0.0004328528296106079
5.3598300000000005,0.0004146906305019279
5.36189,0.00041623112049105385
5.36386,0.0003948631347085716
5.36605,0.0003998809541459967
5.368040000000001,0.0004051835115582793
5.36827,0.0003923306482971324
5.36965,0.00040317440647128996
5.3714900000000005,0.0004005639985381214
5.373419999999999,0.00037018437260820397
5.3748,0.0003538689997739375
5.38009,0.00031668303619289824
5.3829199999999995,0.0003046789758700292
5.3833400000000005,0.00030978854925021445
5.383859999999999,0.00030568537543466793
5.38596,0.00030083098694239064
5.38986,0.0002974630647031306
5.39308,0.00030221436517028656
5.40341,0.00032408467215183217
5.41408,0.00032479364780743143
5.42436,0.00030566437953773146
5.43541,0.00030510898450741153
5.43926,0.0003127700602788281
5.4408199999999995,0.0003118817402001736
