,a0,a0_err,Chi2,Pval,Chi2NDF
4.961869,63551511972139.664,1459033803401.7617,150.72479801091256,5.436627429140783e-30,25.12079966848543
4.964748,63542995690574.9,1489546384965.7322,153.6676850904454,1.296775475868235e-30,25.611280848407564
4.967875,63214843433644.38,1499313948447.0632,183.90682281513233,5.019861844167682e-37,30.65113713585539
4.970043,70233672214589.3,1682873418407.2979,147.67935776703,2.3941220284568864e-29,24.613226294505
4.9728,65056574282911.86,1470847491825.168,172.8868341139377,1.0979486125250676e-34,28.81447235232295
4.974629,65586130541743.75,1545349509233.9075,168.2188324204656,1.0733215339310824e-33,28.036472070077597
4.984706,66337750463862.27,1515143770817.0073,180.89034234662213,2.1953548872445066e-36,30.14839039110369
4.990074,72516732981228.88,1697200423107.1375,175.87960403346455,2.5435862260265694e-35,29.31326733891076
4.994669,68156319013758.0,1527589972204.7424,200.33599083346186,1.6095002611804706e-40,33.38933180557698
5.004642,67903333035335.08,1486989467802.657,244.84284612602838,5.185983252409902e-50,40.80714102100473
5.00999,78799807108696.84,1778705872114.7507,155.28264739080754,5.903959960529877e-31,25.880441231801257
5.014843,79538987564970.11,1768536069523.543,232.38951713745695,2.366331192314202e-47,38.731586189576156
5.017737,91344559843827.97,2023830382284.5913,185.2161298664653,2.64529748775545e-37,30.86935497774422
5.017861,90407903949304.44,1986465843578.0352,174.13886852330958,5.955271484380254e-35,29.02314475388493
5.0198220000000005,110731249203320.61,2496823986513.4443,159.93921348449263,6.09988116177761e-32,26.65653558074877
5.024805000000001,184364021596199.84,4180068319935.6265,119.82956565955206,1.769590845201303e-23,19.97159427659201
5.027826,257225892561434.72,5672158343889.621,113.90103103249231,3.1039826385104242e-22,18.98350517208205
5.030101,258216537963258.34,5850151773342.9,107.33305024844026,7.370255078818979e-21,17.888841708073375
5.032781,238692097381457.78,5347909632542.519,125.97634701006892,9.033567802858913e-25,20.996057835011488
5.035899,237854381140679.78,5301036230817.587,99.0502911997265,3.959659069586525e-19,16.508381866621082
5.0387059999999995,233825663869077.06,5271345323730.01,104.29982148780859,3.1747558028581616e-20,17.38330358130143
5.041981,223945490849770.75,5209342807616.406,85.03949513550275,3.2395168440432266e-16,14.173249189250457
5.044789,202143550224494.75,4670329085552.839,91.18479635663935,1.7189894032264406e-17,15.197466059439892
5.049971,152189261508821.9,3760318803679.2393,118.7414415377131,2.9947836514967565e-23,19.790240256285518
5.054843,104520913640230.67,2608131481904.9707,131.00683056634546,7.888315725342769e-26,21.834471761057575
5.064876,196172092634525.06,4230816690540.0615,191.63186261657674,1.1444049936205818e-38,31.938643769429458
5.069912,195444047847180.6,4267601995438.3696,197.12451301113586,7.765316331274552e-40,32.85408550185598
5.074481,190576567671781.75,4008308224722.1543,222.92754966630596,2.4713104778152975e-45,37.154591611050996
5.084189,160797322598729.44,3524765339032.215,311.1782665476488,3.2885839383723375e-64,51.86304442460813
5.089986,160966346128866.62,3582177140207.0894,318.13656542585363,1.059546685903709e-65,53.02276090430894
5.093717,260567877561979.03,6270465630894.198,391.67398467503403,1.7229375230398346e-81,65.27899744583901
5.09676,339037926080279.4,7747856153565.212,424.5043027882829,1.5025477206655984e-88,70.75071713138048
5.098893,330273593640417.3,7897679886633.096,405.2520963542283,2.0762159874351086e-84,67.54201605903805
5.099991,339282368141022.3,8232759758313.16,386.7969803013513,1.925174898520373e-80,64.46616338355855
5.1004309999999995,332745759563945.5,8107427699902.524,392.5675451499966,1.1071451819517766e-81,65.4279241916661
5.100713,337421823501353.25,8103749914177.44,368.64963886780595,1.526152254044179e-76,61.44160647796766
5.102879,628066902083646.6,13836870272684.615,301.2088993629984,4.505379196139487e-62,50.2014832271664
5.104856,694598019101243.0,14961575292024.426,259.08904585319476,4.677796565210786e-53,43.18150764219913
5.106897,650954227592987.9,14211222695669.191,262.9930720972653,6.842011434150038e-54,43.832178682877554
5.108781,622826500742975.1,13586563306268.723,273.1735735908366,4.542119918787667e-56,45.5289289318061
5.110037,629184934614076.0,13811577071735.375,271.1489746009644,1.231631316999473e-55,45.191495766827394
5.11075,598415889997317.1,13151897701246.213,261.6808077652601,1.3056495470516287e-53,43.61346796087668
5.113839,569697982318499.5,12393645566849.424,246.9821758184193,1.8104081964375544e-50,41.16369596973655
5.118804,487249699606851.3,10396606283809.418,198.02122229811698,5.004302025638152e-40,33.003537049686166
5.123773,360953736800364.6,8004929653841.542,149.3910612664625,1.0407094353181091e-29,24.89851021107708
5.128523,210435798840398.88,4742879244399.605,124.87585028437746,1.5393220715789278e-24,20.81264171406291
5.129939,221438437232198.6,5227560504248.198,143.43295521226972,1.8890667796924367e-28,23.905492535378286
5.133811,121569171069225.7,2978255902519.95,84.20019468364131,4.834151661065312e-16,14.033365780606886
5.138881,106406994202686.92,2737314947993.129,71.54089370485167,1.9741548985450802e-13,11.923482284141945
5.141653,107753970898220.61,2708626189072.6416,100.91551017161171,1.6162593721978046e-19,16.81925169526862
5.144741000000001,105320789771666.64,2654492193482.952,112.9239259176538,4.974431779680054e-22,18.820654319608966
5.147988,104456940899816.28,2705039024381.2827,132.71501307261795,3.444600007360099e-26,22.119168845436324
5.150005999999999,109426120075695.66,2930807862525.1484,118.37187396666263,3.580585881867978e-23,19.728645661110438
5.150983,106617809290808.89,2610755890445.0806,152.27380175184686,2.5570041949591968e-30,25.378966958641143
5.15704,109074307821905.89,2600938387603.276,184.59501300832798,3.5847774621331656e-37,30.765835501387997
5.159375,114943478706301.78,2638613379229.315,212.7100905542701,3.726004007037545e-43,35.451681759045016
5.170048,114353088419663.34,2749414803857.823,240.1244348394017,5.280297280566616e-49,40.02073913990028
5.189844,123933199805114.22,2746180100974.804,312.90353693530113,1.4032752919970344e-64,52.150589489216856
5.210028,148000873959779.0,3333516353847.9326,387.4746495443116,1.376666575369704e-80,64.57910825738527
5.230028,182392061064026.28,4429329077910.055,511.8473891854825,2.3568750056688952e-107,85.30789819758041
5.239501000000001,223259610851420.56,5217218075531.49,635.0079243665369,6.531083036486091e-134,105.8346540610895
5.2430639999999995,243146634500830.62,6078083451766.096,631.0688294530746,4.623395462141943e-133,105.1781382421791
5.250129,301082150160618.25,7870823037102.179,681.0311973458703,7.616392415634289e-144,113.50519955764504
5.25994,380636227466760.9,9819551313856.457,730.6596785930162,1.4654957063478041e-154,121.77661309883604
