Run,Detector,Yield,Yield err,Area,Area err,Time,Fit Status,a,b,sig1,sig2,X2NDF,Linear,Offset,Q_int
run0173,det_h0-4,0.0415894,0.000570863,8537.92,117.193,189.258,1,0,0,11.5305,11,6.91839,-0.196535,11,205291
run0173,det_h0-5,0.0447965,0.000662771,9196.33,136.061,189.258,1,0,0,11.2659,11,1.77482,-0.158743,11,205291
run0173,det_h0-6,0.0460917,0.000604077,9462.21,124.012,189.258,0,0,0,9.63915,11.7462,1.14061,-0.137221,11.7462,205291
run0173,det_h0-7,0.0396656,0.000570644,8142.99,117.148,189.258,1,0,0,11.3285,11,4.51499,-0.195996,11,205291
run0173,det_h1-0,0.0415994,0.00050072,8539.98,102.793,189.258,1,0,0,10.2021,6.83734,4.13464,-0.160811,6.83734,205291
run0173,det_h1-1,0.0404482,0.000662484,8303.66,136.002,189.258,1,0,0,10.6701,11,6.88427,-0.163327,11,205291
run0173,det_h1-2,0.0194244,0.000425601,3987.65,87.3721,189.258,1,0,0,12.3618,11,6.37255,-0.17896,11,205291
run0173,det_h1-3,0.0362223,0.000527906,7436.1,108.374,189.258,1,0,0,13,11,19.0393,-0.316204,11,205291
run0173,det_h1-4,0.0544856,0.000623417,11185.4,127.982,189.258,1,0,0,11.5772,11.8486,9.74118,-0.185849,11.8486,205291
run0174,det_h0-0,0.0596113,0.000735828,9023.36,111.382,139.253,1,0,0,9.16002,11,2.22072,-0.12904,11,151370
run0174,det_h0-1,0.0607404,0.0008504,9194.27,128.725,139.253,1,0,0,10.754,11,6.84171,-0.214322,11,151370
run0174,det_h0-2,0.0252383,0.000510106,3820.32,77.2148,139.253,1,0,0,9.73308,11,1.57224,-0.0695245,11,151370
run0174,det_h0-3,0.0462159,0.000716594,6995.69,108.471,139.253,0,0,0,10.0528,11,1.24631,-0.143854,11,151370
run0174,det_h0-4,0.0469968,0.000721971,7113.9,109.285,139.253,1,0,0,11.44,11,5.59193,-0.173692,11,151370
run0174,det_h0-5,0.0525566,0.000811761,7955.5,122.876,139.253,1,0,0,11.1827,11.7028,1.99916,-0.134879,11.7028,151370
run0174,det_h0-6,0.054767,0.000673088,8290.08,101.885,139.253,0,0,0,9.66722,7.44789,1.23661,-0.169175,7.44789,151370
