,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
4.32116,2.6168538018641453e-05,0.0,8.543679749407657e-06,0.0,-7.158440641949717e-06,0.0,9.83693849894078e-06,0.0,-4.6201967228312095e-06,0.0,1.0356090179639579e-06
4.32298,2.564838893811555e-05,0.0,6.972681350876901e-06,0.0,7.017204510241512e-07,0.0,4.238521764034716e-07,0.0,1.7752908584121563e-06,0.0,-1.0944414883016443e-05
4.32521,2.0065089724362866e-05,0.0,4.1413252663627965e-06,0.0,-3.1032320231126812e-06,0.0,4.709073472687249e-06,0.0,4.710946975491705e-06,0.0,-8.019459559301365e-06
4.32711,1.9433716521279746e-05,0.0,1.6979477464473768e-07,0.0,-9.5926652220197e-07,0.0,2.6079565057799458e-06,0.0,3.979043112881992e-06,0.0,1.8503185978801063e-06
4.32908,1.6483923994738362e-05,0.0,6.171424323668887e-06,0.0,-8.755843248500767e-06,0.0,8.412390132189963e-06,0.0,-6.310083014563823e-06,0.0,5.015020077262472e-06
4.33012,1.686595328424247e-05,0.0,4.777491346548735e-06,0.0,-1.6909625302848826e-06,0.0,5.5764140758320566e-06,0.0,-4.598953535916537e-06,0.0,-2.393495899106267e-06
4.33119,2.5354827253080086e-05,0.0,2.67565312536599e-07,0.0,-8.767382819143963e-07,0.0,4.713151062740483e-06,0.0,9.085467491915402e-07,0.0,-5.482936648795202e-07
4.33324,2.572346483784999e-05,0.0,5.831797674004166e-06,0.0,-3.624140433310879e-06,0.0,5.826521659136983e-06,0.0,-6.172568149945287e-06,0.0,1.8678198122297084e-06
4.33515,2.4852080352434882e-05,0.0,1.8349914507348783e-06,0.0,-1.7902775712095143e-06,0.0,4.86994551719514e-07,0.0,-8.167775722790022e-07,0.0,3.917348180186569e-06
4.34004,2.2332250672184994e-05,0.0,1.7908266566507328e-06,0.0,-1.6420593597446751e-06,0.0,-1.4677161958227248e-07,0.0,2.718588714155763e-07,0.0,1.5312568736256092e-06
4.34488,2.293990096122977e-05,0.0,3.2318271646370234e-06,0.0,-6.539945285554869e-07,0.0,-3.843781491698054e-07,0.0,2.764135387728769e-06,0.0,-4.354466134967648e-07
4.34998,2.2240125818985395e-05,0.0,6.486308752033201e-07,0.0,-3.5061888269802436e-07,0.0,9.742978065275074e-07,0.0,6.137683536768219e-07,0.0,-2.1871965460761296e-06
