,a0
5.07448,9.544612840796043e-05
5.08419,8.21703449078971e-05
5.08999,9.17125766622813e-05
5.093719999999999,0.00033089708504309694
5.09676,0.0006294896714287465
5.09889,0.000702874349885149
5.09999,0.0007380604048699566
5.10043,0.0007242643029807078
5.100709999999999,0.000721812970441624
5.10288,0.0008907228723060219
5.1048599999999995,0.0009314451263869064
5.1069,0.0009361552856321987
5.10878,0.0009354792617220596
5.110040000000001,0.0009527831672989594
5.11075,0.0009394153783213508
5.11384,0.0009236529938657094
5.1188,0.0007727583238655801
5.1237699999999995,0.0005664645813289094
5.12852,0.0004159137626658048
5.12994,0.0004338723856587155
5.1338099999999995,0.00033409873190919516
5.13888,0.00033619134717426417
5.14165,0.00032039356130538453
5.1447400000000005,0.0002970358264822695
5.14799,0.0002749722334044492
5.15001,0.00026476713690167566
5.150980000000001,0.00025219277918075034
5.15704,0.0002138250886639293
5.15937,0.00019190440659356138
5.17005,0.00012250369563576616
5.18984,9.091768253029481e-05
5.210030000000001,9.881361073251814e-05
5.23003,0.00013437536441395818
5.2395,0.0001721561847219373
5.24306,0.00019055310899902616
5.25013,0.00026523098851119974
5.25994,0.00039582532750491185
5.26504,0.00046661850829979946
5.26998,0.000565507733519805
5.27496,0.0007546106678930553
5.27502,0.0007408702229971454
5.2798099999999994,0.001138893930323797
5.28495,0.0014554487182222606
5.29016,0.0018951993360041494
5.29294,0.0021910137465790927
5.29767,0.0021474552106337014
5.29972,0.002102138355397022
5.30238,0.0019907590527679713
5.30823,0.0017233084080937365
5.312880000000001,0.0016382767800363243
5.31752,0.00139865254282375
5.32281,0.0011108251734358407
5.32768,0.00094404454104022
5.33288,0.0006869792917602342
5.33291,0.0007169700459209694
5.33747,0.00048523202951164166
5.34274,0.0002990046499675782
5.34293,0.0003020685071218894
5.34694,0.0002277669266425744
5.34826,0.00021667982489700674
5.34858,0.0002028118168995692
5.35205,0.00034131660077936054
5.3536,0.000262132480281563
5.3579,0.0004159692969135702
5.35797,0.00043750909312096953
5.3598300000000005,0.0003943615889664449
5.36189,0.00037910944042409143
5.36386,0.0003728334985107081
