,a0,a1,a2,a3,a4,a5,a6
4.2990900000000005,1.6050840200832496e-05,0.0,1.8080763330215304e-06,0.0,1.0323356811107444e-05,0.0,-7.051522307849467e-06
4.30105,2.995984772204845e-05,0.0,5.47300972425404e-06,0.0,-1.2703083262729087e-05,0.0,7.860515233467887e-06
4.3031,2.650630849099252e-05,0.0,-9.661995807084822e-07,0.0,-1.338656437572881e-05,0.0,1.2454318744113822e-05
4.30523,2.8769252898535062e-05,0.0,-1.059637207167521e-06,0.0,-5.651788901002088e-06,0.0,-2.0172463732357864e-06
4.30725,2.8286593289572564e-05,0.0,1.8645455963985567e-06,0.0,-6.184234218548572e-06,0.0,3.9438139974778605e-06
4.3093,2.9857040875400008e-05,0.0,6.327484206719997e-06,0.0,-1.2402570368293444e-05,0.0,-1.0214783830807822e-05
4.30996,2.955316574747794e-05,0.0,-3.334022343498363e-07,0.0,-8.796983559402025e-06,0.0,1.546366149223035e-05
4.31117,2.4136969281079777e-05,0.0,-6.346509040914483e-06,0.0,-1.7734321962926853e-05,0.0,2.0497240763267027e-05
4.31311,2.5204421351487807e-05,0.0,1.6116169300100314e-06,0.0,-2.1561359617193245e-05,0.0,1.6781907999201957e-05
4.31513,2.613270910471706e-05,0.0,1.3032583465889852e-05,0.0,-9.360479298699591e-06,0.0,2.5296010938933745e-06
4.3172,2.6142677463592404e-05,0.0,3.789839048618638e-07,0.0,-2.18408065097191e-06,0.0,7.196176484483513e-06
4.31917,2.9135826206615616e-05,0.0,-6.121584508261362e-08,0.0,-1.8532017703125841e-06,0.0,-2.788665040748417e-06
4.32116,2.606465040587249e-05,0.0,7.84441570617485e-06,0.0,-8.324374522544969e-06,0.0,8.962185436594784e-06
4.32298,2.4896911641839218e-05,0.0,7.0215790044837705e-06,0.0,-3.560579474323216e-06,0.0,-3.0029916234986484e-06
4.32521,1.9250990599445507e-05,0.0,5.100645019884894e-06,0.0,-4.994025101010488e-06,0.0,3.772687995851013e-06
4.32711,1.92654119098604e-05,0.0,5.475884550724232e-07,0.0,1.919376269135751e-07,0.0,5.511750149005777e-06
4.32908,1.6277386841545244e-05,0.0,7.301217220739582e-06,0.0,-1.2179302815988826e-05,0.0,9.829146706572683e-06
4.33012,1.6471885285427223e-05,0.0,3.5903669944391454e-06,0.0,-2.7511226379278734e-06,0.0,2.1886175827290325e-06
4.33119,2.5335548242795048e-05,0.0,2.6324055266888075e-07,0.0,-7.964668832233678e-07,0.0,4.982168634573644e-06
4.33324,2.5512958900137003e-05,0.0,6.213338342499072e-06,0.0,-6.124779921226933e-06,0.0,4.461819428757983e-06
4.33515,2.4797797049329773e-05,0.0,1.9873195524683218e-06,0.0,-1.3286604881156809e-06,0.0,1.9169464260743156e-06
4.34004,2.2292243383039775e-05,0.0,1.9145067587812005e-06,0.0,-1.138577214859439e-06,0.0,6.474801728222664e-07
4.34488,2.2882609276599813e-05,0.0,3.463197990966412e-06,0.0,-9.636975472371909e-08,0.0,6.379615227063443e-07
4.34998,2.2198474540379546e-05,0.0,5.271599660035481e-07,0.0,-6.865600887918219e-07,0.0,2.551952083558834e-07
4.37005,1.5454615877950125e-05,0.0,2.2095369611837468e-06,0.0,-1.4971561492370198e-06,0.0,1.7900091969548189e-06
4.39015,2.033809427528382e-05,0.0,8.292140629137803e-07,0.0,1.0994653968294924e-06,0.0,-1.2621872668610382e-07
4.41003,2.9929941804080294e-05,0.0,1.5451898980532956e-06,0.0,2.2511485751843461e-07,0.0,3.4642601606946703e-06
4.42024,4.481790750700279e-05,0.0,2.4422905806349275e-06,0.0,-4.715876318533598e-06,0.0,9.740395286037472e-06
4.43018,6.12030949556873e-05,0.0,1.9673447169646684e-07,0.0,-1.4753395717467836e-06,0.0,2.121145824098629e-06
4.44004,0.0001260978559746429,0.0,7.5643391821555455e-06,0.0,-1.5283784565701538e-06,0.0,1.1985189019684255e-05
4.44994,0.00021781651704630927,0.0,1.0527395721903404e-05,0.0,-1.526609809684856e-06,0.0,-8.994635909123347e-06
