,a0
5.093719999999999,0.0003591957799507807
5.09676,0.0006909616139243269
5.09889,0.0007668803042876511
5.09999,0.0008023391204682736
5.10043,0.000782985506071081
5.100709999999999,0.0007765273962465996
5.10288,0.000967575871905897
5.1048599999999995,0.001004011999458286
5.1069,0.001002023629998726
5.10878,0.0010395174920905267
5.110040000000001,0.0010435686908700028
5.11075,0.001012822012290073
5.11384,0.000991678951645965
5.1188,0.0008349403372549088
5.1237699999999995,0.0006091598199105214
5.12852,0.00044205102758322406
5.12994,0.0004760760328205314
5.1338099999999995,0.00036079143562470174
5.13888,0.0003576922843301666
5.14165,0.0003460715371064448
5.1447400000000005,0.0003146264190111947
5.14799,0.0002898933589093028
5.15001,0.0002847993557850123
5.150980000000001,0.00027071398735178926
5.15704,0.00022395637719378048
5.15937,0.00020440442934816451
5.17005,0.0001286950904858488
5.18984,9.661295648791275e-05
5.210030000000001,0.00010619392190513045
5.23003,0.00013947318467059008
5.2395,0.00018314099402945221
5.24306,0.00019965815369082346
5.25013,0.00027359117164102204
5.25994,0.00041403059836717066
5.26504,0.0004831520492089142
5.26998,0.0005998695805925995
5.27496,0.000839483851047316
5.27502,0.0008234534303854715
5.2798099999999994,0.0012182630751913345
5.28495,0.0015648277050499862
5.29016,0.0020655671862417567
5.29294,0.0024659689421212515
5.29767,0.002383043016794072
5.29972,0.0023278844592159783
5.30238,0.0021979377650236708
5.30823,0.0019205996771980683
5.312880000000001,0.0018381083197080783
5.31752,0.0015852040221346689
5.32281,0.0012609754960517053
5.32768,0.0010507434024189632
5.33288,0.0007705155640858702
5.33291,0.0007997618767373462
5.33747,0.0005322171849396831
5.34274,0.00031978716200472136
5.34293,0.00032302736889528133
5.34694,0.00023681787350375916
5.34826,0.00023090702074524144
5.34858,0.0002133439148955015
5.35205,0.0003637733611282774
5.3536,0.0002864668845511195
5.3579,0.00044264836225293085
5.35797,0.00048359154335328805
5.3598300000000005,0.00041975365859239474
5.36189,0.000406620493473725
5.36386,0.000404801929903548
5.36605,0.0003865089858065715
5.368040000000001,0.0003694041288515319
5.36827,0.0003922798293715328
5.36965,0.0003754126565980895
5.3714900000000005,0.00041353283157337736
5.373419999999999,0.0003393476972340632
5.3748,0.00022463272189085243
5.38009,9.523780223871689e-05
5.3829199999999995,5.943671898084149e-05
5.3833400000000005,8.735332785203644e-05
5.383859999999999,5.2719786767964805e-05
5.38596,4.133702303980095e-05
5.38986,3.47540117096192e-05
5.39308,3.2441778613589154e-05
5.40341,3.1852191969327424e-05
5.41408,3.8279440106476095e-05
5.42436,3.915384119327828e-05
5.43541,4.493532696818621e-05
5.43926,5.109812317681076e-05
5.4408199999999995,5.1617755983844593e-05
