,a0,a2,a0_err,a2_err,Chi2,Pval,Chi2NDF
4.4699599999999995,2.0384569035406024e-05,9.720154394051707e-06,2.940221344429934e-06,4.602136786459567e-06,6.601475011249982,0.2520055082990733,1.3202950022499964
4.4779800000000005,2.666448830082287e-05,4.693301001789812e-06,3.43137332943981e-06,5.002104405715525e-06,11.740477300280212,0.03852218118515849,2.3480954600560424
4.48613,3.539481915107103e-05,1.7029142710877962e-05,2.245425918125853e-06,3.569208328384528e-06,17.440754277149722,0.003735480410527181,3.4881508554299443
4.48819,3.8819979481410796e-05,1.5888397040450614e-05,2.0501169673754456e-06,3.2020744442750014e-06,34.7250341931794,1.7072276862206692e-06,6.945006838635879
4.490069999999999,3.768241297581983e-05,2.1475640539563312e-05,2.1253753472019615e-06,3.3767156480973688e-06,28.16013037162105,3.386688957263129e-05,5.6320260743242105
4.49222,4.486810582486848e-05,1.8641952822788734e-05,1.6990813765739787e-06,2.7406958052048975e-06,40.694979926253616,1.0812682815775077e-07,8.138995985250723
4.4949900000000005,4.9188504957822495e-05,2.251619335436263e-05,1.4785915010484508e-06,2.45796450977778e-06,55.775243306540176,9.040335147147971e-11,11.155048661308035
4.499969999999999,5.104105157377952e-05,2.2845623829800333e-05,1.4102864060016957e-06,2.3349974626598073e-06,76.24778441289052,5.10702591327572e-15,15.249556882578105
4.51021,5.56217729666348e-05,2.5129957604413052e-05,1.3711421269282848e-06,2.3126087206044473e-06,82.56637719537575,2.220446049250313e-16,16.51327543907515
4.51218,6.135792151830306e-05,2.7450713990456127e-05,1.8407966844585636e-06,2.9545472021299253e-06,113.08223975949025,0.0,22.61644795189805
4.51508,5.910639376285931e-05,2.778663641900398e-05,2.626317420092902e-06,4.094212075498807e-06,87.84972716742845,0.0,17.569945433485692
4.52007,5.264644962788509e-05,1.4113699268577462e-05,3.004604511073923e-06,4.4974033486324534e-06,74.24175104483876,1.3433698597964394e-14,14.848350208967753
4.52524,5.180463087937308e-05,1.0089600322219016e-05,4.150622560199859e-06,6.182453033841616e-06,46.46347306996344,7.308013305618033e-09,9.292694613992689
4.5294099999999995,5.62065294843613e-05,3.387053890511953e-06,3.855724591862782e-06,5.4165023082705254e-06,65.68929530077219,8.062439604827887e-13,13.137859060154437
4.53506,3.778895692453376e-05,-1.6537934478441562e-06,4.918391925243831e-06,6.949103726132545e-06,42.35700382241065,4.987488810836993e-08,8.47140076448213
4.54024,3.6982326075714565e-05,5.299448730205745e-06,6.151174671572749e-06,9.473887508501734e-06,9.423480536118705,0.09331917444609461,1.884696107223741
4.5498,4.761094016555997e-05,7.226677742408996e-06,3.385781214906538e-06,5.105428071415317e-06,31.98620283603001,5.978753101154588e-06,6.397240567206002
4.56018,1.62782743775873e-05,6.048394705718253e-06,3.763514392239914e-06,5.549771113647214e-06,4.05131475441076,0.5420518077239893,0.810262950882152
4.570130000000001,1.323431439168593e-05,1.175648993100935e-05,3.3872159102649873e-06,6.276239206095993e-06,1.77297109137638,0.8795814273084313,0.35459421827527604
4.580030000000001,1.0331354450143298e-05,1.4174690322861378e-05,2.2039831958271024e-06,3.9503479407719045e-06,6.512057015524832,0.259529879566778,1.3024114031049663
4.59008,3.703943503092603e-05,1.4001668435055323e-05,3.123751640914263e-06,4.918770239239854e-06,54.12578990211437,1.9746992929725593e-10,10.825157980422874
4.60027,7.243386750522384e-05,1.9220556961216305e-06,4.337427070514562e-06,5.809003000796207e-06,289.2655719454757,0.0,57.85311438909514
4.60999,5.119973413992365e-05,1.3267674302843309e-05,4.571583123318075e-06,6.038463484974779e-06,776.962405826934,0.0,155.39248116538678
4.62023,8.121946070325186e-05,4.36935193128283e-05,6.647176295982348e-06,9.775993650118568e-06,603.0681138234401,0.0,120.61362276468802
4.62994,8.446424691158702e-05,-7.788157083419989e-06,5.786005929662433e-06,7.299087652133755e-06,671.5819930443275,0.0,134.3163986088655
4.63517,8.25861624572527e-05,6.897995945328255e-06,4.612762588033025e-06,6.158353227789677e-06,384.0288674305682,0.0,76.80577348611364
4.639959999999999,0.0001237130301761224,3.3108674090888505e-05,4.612999741473637e-06,6.762861030800189e-06,189.9061011499163,0.0,37.981220229983265
4.64996,0.0001146720432083869,4.559327443650467e-05,4.0118302570518344e-06,5.8924434990323575e-06,338.79322616860304,0.0,67.75864523372061
4.67012,0.00012191526477990422,1.2009284916757044e-06,3.6504574636543194e-06,4.855045533302352e-06,444.4391859780384,0.0,88.88783719560767
4.68015,0.00010534984924987184,6.127664619120498e-06,2.8710206483791905e-06,4.030075106290406e-06,260.1538647399486,0.0,52.03077294798972
4.68993,7.577440905445103e-05,2.2377059880443248e-05,2.0595828079686895e-06,3.11515008653268e-06,215.84018517820837,0.0,43.168037035641674
4.71002,7.213363022892162e-05,2.4272528306762735e-05,1.7397830354766632e-06,2.7821562053171123e-06,135.42735672229404,0.0,27.085471344458806
4.73,7.699584805640128e-05,2.6897989479574356e-05,1.9453535156330484e-06,3.087001422075806e-06,149.0161674054221,0.0,29.80323348108442
4.75,0.00010922311266851525,3.591742226048986e-05,2.742855652266513e-06,4.188518444372907e-06,267.85918693033796,0.0,53.57183738606759
4.75518,0.00018166994875194072,3.323589214818232e-05,4.856365364387116e-06,6.8345893795374105e-06,454.7061701150874,0.0,90.94123402301747
4.75888,0.00019529596196561142,3.335812826190179e-05,5.1162889973302084e-06,7.240892025631573e-06,413.56323854320914,0.0,82.71264770864182
4.77004,0.00020226241632224633,5.939485448418425e-05,5.236917448690623e-06,7.79919786272825e-06,323.27000273626095,0.0,64.6540005472522
4.77502,0.00018786156317259322,5.553038645395738e-05,5.248028015826454e-06,7.973652148928323e-06,189.30674863980516,0.0,37.861349727961034
4.7801800000000005,0.00014817245726479592,6.178355186765601e-05,5.60163432170584e-06,8.883607954248187e-06,75.30219315748974,7.993605777301127e-15,15.060438631497949
4.79012,0.0002561245792600969,0.00011245714957796519,7.492876494201889e-06,1.2636042708542409e-05,36.27898524699692,8.352473584993803e-07,7.2557970493993835
4.799919999999999,0.0005400394150645168,0.00025272558321110336,1.2233604993978615e-05,2.1600534289592e-05,31.79832396831718,6.513327135970748e-06,6.359664793663436
4.81003,0.00047933651983897646,0.000240852517024261,1.062489352277831e-05,1.9125637793410964e-05,25.18575941991794,0.00012828447675949928,5.037151883983588
4.8121599999999995,0.00031706141830402374,0.0001663220722835111,6.952548328536296e-06,1.26146005257714e-05,27.128081794188656,5.3857955393143975e-05,5.425616358837731
4.81527,0.00020552322741420765,9.455954784060056e-05,4.548945566240494e-06,8.207672448685947e-06,19.003664744445253,0.001919118049036883,3.8007329488890504
4.82006,0.00010194226387248511,4.427736584813985e-05,2.3834777311251745e-06,4.287531835911086e-06,17.40619896035914,0.0037905040907731946,3.481239792071828
4.82989,7.425128733526031e-05,2.4953269122144657e-05,1.681526354330723e-06,2.9590923995487497e-06,8.742673895462131,0.1197788151800594,1.7485347790924262
4.85003,7.615148303407164e-05,2.1433757839974876e-05,1.7139353847820732e-06,2.901007091292026e-06,28.423287702222307,3.008007107407895e-05,5.684657540444461
4.86629,8.091235781525372e-05,2.115986713989959e-05,1.8550121728424824e-06,3.1045121511705757e-06,34.55530424416565,1.845586936388699e-06,6.911060848833129
4.88989,8.59488029234112e-05,3.005102836880625e-05,1.8648094616075173e-06,3.2063979818898506e-06,37.543934994036995,4.658934981138785e-07,7.508786998807399
4.89991,9.235751709897963e-05,3.3279146854779325e-05,2.236079588665487e-06,3.8050778054358675e-06,27.823528473165613,3.940687146664068e-05,5.564705694633123
4.9101300000000005,9.163314010619945e-05,4.096771621664224e-05,2.185368773745064e-06,3.8073609146253073e-06,33.81599885309958,2.5904930990305886e-06,6.763199770619916
4.91996,9.287745159747724e-05,3.168105146680543e-05,2.4074585708802143e-06,4.037687935789702e-06,26.0216213744474,8.837849386178487e-05,5.20432427488948
4.92615,9.55894617923653e-05,3.02691435191103e-05,2.18801858158387e-06,3.6805074237568685e-06,38.53345455279039,2.9477876128947145e-07,7.706690910558078
4.9301900000000005,9.543847321895965e-05,4.1729138169930283e-05,2.3572086331092973e-06,4.021117090068008e-06,49.18726266315912,2.03202388249224e-09,9.837452532631824
4.93692,9.730625417211041e-05,3.220961464540012e-05,2.271357279019806e-06,3.7963064631007052e-06,56.32495676439551,6.96596114124759e-11,11.264991352879102
4.94675,9.5334136054206e-05,2.9194246461320494e-05,2.2894350441717123e-06,3.7276901486129284e-06,74.97979547755834,9.43689570931383e-15,14.995959095511669
4.95027,9.841760020152343e-05,3.832806718891234e-05,2.4555437396480746e-06,4.067685181683479e-06,73.20241601138405,2.2093438190040615e-14,14.640483202276808
4.95676,9.486524932855624e-05,3.235726541244669e-05,2.3091227591682255e-06,3.783257788781457e-06,80.46067216022436,6.661338147750939e-16,16.092134432044872
4.961869999999999,9.815870588591701e-05,3.254885067052185e-05,2.376539367508772e-06,3.8827993972631805e-06,78.8290979356293,1.4432899320127035e-15,15.765819587125861
4.96475,9.776857575034453e-05,3.058941422060737e-05,2.420698239083076e-06,3.909083877567911e-06,84.3532753503571,1.1102230246251565e-16,16.870655070071418
4.96787,9.840507834719842e-05,3.406127345218714e-05,2.434716468127803e-06,3.939765151056283e-06,101.31034787944644,0.0,20.26206957588929
4.97004,0.00010912973004504391,4.0477163621319936e-05,2.746724944149798e-06,4.542455232153346e-06,61.99070366153077,4.710232204274689e-12,12.398140732306155
4.9728,0.00010119079000619512,3.476641983178547e-05,2.3753544072252503e-06,3.9066547992129266e-06,86.02350624064209,0.0,17.20470124812842
4.97463,0.00010053624831307109,3.426958582011619e-05,2.5020809700122214e-06,4.045381628550169e-06,94.12082347352268,0.0,18.824164694704535
4.98471,0.00010226647771217055,3.712532810057924e-05,2.4401022386517974e-06,3.996005714106614e-06,92.45306845587743,0.0,18.490613691175486
4.990069999999999,0.00011194005784906442,4.6725875399680544e-05,2.7128695296730556e-06,4.56762564697027e-06,73.01214070042263,2.4202861936828413e-14,14.602428140084527
4.994669999999999,0.0001059528265570449,4.473947871756837e-05,2.4344086168674166e-06,4.099254299709701e-06,86.96206963874113,0.0,17.392413927748226
5.00464,0.00010661807394947958,4.6377062218833364e-05,2.3691839384669893e-06,3.975801632273479e-06,113.47859531232687,0.0,22.695719062465376
5.00999,0.0001221237740309882,4.622284134541021e-05,2.8544304372695453e-06,4.79843242775267e-06,57.971505184630644,3.188327379888278e-11,11.59430103692613
5.01484,0.00012481294041391227,5.4231645520475773e-05,2.819714581905709e-06,4.7390123737443325e-06,99.71554763296234,0.0,19.94310952659247
5.01774,0.00014132480687557985,4.9963049474940064e-05,3.258804929877222e-06,5.335890895722025e-06,97.97432546239766,0.0,19.59486509247953
5.01786,0.0001394946958267981,4.4503532645991574e-05,3.1965150563525794e-06,5.177498053340573e-06,103.46825705210753,0.0,20.693651410421506
5.019819999999999,0.00017021727664180618,4.399073893977538e-05,4.064600005889767e-06,6.407141474936012e-06,110.43706448191087,0.0,22.087412896382173
5.0248,0.0002853174519946476,6.94787904507961e-05,6.870105770001082e-06,1.0966828933223603e-05,69.70561030046818,1.1801670751765414e-13,13.941122060093637
5.027830000000001,0.0003970108380612285,0.00012158502887915754,9.14660095564077e-06,1.514437000336774e-05,49.46870290778743,1.7798530427270975e-09,9.893740581557486
5.0301,0.00039792388925946457,0.00012038570635413548,9.50468882272308e-06,1.5710391522986636e-05,46.94642733735538,5.826147786436309e-09,9.389285467471076
5.032780000000001,0.0003682607713474925,0.00011010808666741448,8.665324321331675e-06,1.4180014212261854e-05,60.24848298284029,1.0799028338226435e-11,12.049696596568058
5.0359,0.00036636664451567187,0.00010204138821949722,8.634674844731805e-06,1.4155071852539153e-05,47.89416589161511,3.733067188704808e-09,9.578833178323022
5.03871,0.0003577853809393578,0.00010484777119796989,8.542900075325692e-06,1.3985254656009617e-05,52.27139899419051,4.745738246825226e-10,10.454279798838103
5.041980000000001,0.0003429264212667145,9.281364416294512e-05,8.504805182589802e-06,1.3858016233345455e-05,42.58958612167879,4.474874037985188e-08,8.517917224335758
5.04479,0.00031024325861573406,9.144139829160385e-05,7.600057800641269e-06,1.251821996245044e-05,38.99037797045689,2.3854504394016374e-07,7.798075594091378
5.04997,0.0002353797513288487,9.9219002161534e-05,6.094540586654226e-06,1.043032420733058e-05,31.925284383625748,6.147126389244306e-06,6.38505687672515
5.05484,0.000160138235707179,5.7108229236987536e-05,4.230418753062659e-06,6.901813535916249e-06,66.54833378930395,5.347944309619379e-13,13.309666757860791
5.0648800000000005,0.00030545894228294746,0.0001116428541822283,6.758795290146366e-06,1.1188600914415545e-05,94.58558236416573,0.0,18.917116472833147
5.06991,0.0003088877800609299,0.00012561153437829365,6.824962856980909e-06,1.1601290407109625e-05,70.62455594744655,7.593925488436071e-14,14.12491118948931
5.07448,0.0002981207979526558,0.00010886404476931681,6.384624287650281e-06,1.052778219382494e-05,117.11709988461764,0.0,23.42341997692353
5.08419,0.0002564601162599204,0.00011774743107199648,5.642384489286364e-06,9.404717948518045e-06,154.90329345490682,0.0,30.980658690981365
5.08999,0.00025644360607024805,0.00011973178480685833,5.694422626135424e-06,9.496259416174621e-06,158.57830226391565,0.0,31.71566045278313
5.093719999999999,0.00041549150902148277,0.0002017102874060861,1.0035642435215268e-05,1.62735978298254e-05,227.75945090190726,0.0,45.55189018038145
5.09676,0.0005464898130366759,0.0002874083563134288,1.2300565940838825e-05,2.040705155570967e-05,228.95722494460938,0.0,45.791444988921874
5.09889,0.0005293898979734272,0.0002716964292978399,1.2581940371241153e-05,2.059378103602876e-05,225.49744781417044,0.0,45.09948956283409
5.09999,0.0005392331189366887,0.0002980944018292799,1.3043442391605621e-05,2.1610704402787657e-05,207.6672164855281,0.0,41.53344329710562
5.10043,0.0005309302619780974,0.00028457384088181084,1.286191658413585e-05,2.120527555763436e-05,208.5496352577641,0.0,41.70992705155282
5.100709999999999,0.0005331686622468259,0.00026343109535767776,1.2880205166746074e-05,2.1009325425470908e-05,208.1546545778521,0.0,41.630930915570424
5.10288,0.001011785932528331,0.0005282752000982978,2.2024478084116696e-05,3.7948732741802445e-05,112.89001262266211,0.0,22.578002524532423
5.1048599999999995,0.0011112365292572399,0.0005402386946037211,2.376955796848654e-05,4.112439976412787e-05,86.46150128046057,0.0,17.292300256092112
5.1069,0.001042249413022051,0.0005260868146055849,2.261724037515627e-05,3.922234224661817e-05,86.30420625225325,0.0,17.26084125045065
5.10878,0.0010069920425783577,0.0005142156758523899,2.171450308148783e-05,3.774296175769815e-05,88.13628282402661,0.0,17.62725656480532
5.110040000000001,0.0010147988549215657,0.0005235658781710581,2.2027370378178262e-05,3.84520269147662e-05,82.84241169380041,2.220446049250313e-16,16.568482338760084
5.11075,0.0009654211754505526,0.0004945605509915178,2.101284199501942e-05,3.66708538990318e-05,76.07896222165536,5.551115123125783e-15,15.215792444331072
5.11384,0.0009105253568360613,0.0004489813865731363,1.971353038731e-05,3.433260148508252e-05,73.72140343802776,1.7208456881689926e-14,14.744280687605553
5.1188,0.0007745046813361366,0.0003598674425566095,1.6551961990039922e-05,2.91711506396173e-05,44.36770271565215,1.9503689441258132e-08,8.87354054313043
5.1237699999999995,0.0005636110715382828,0.00025443131599036273,1.2746445041525067e-05,2.2508899516590156e-05,25.83658782649544,9.598888139861206e-05,5.167317565299088
5.12852,0.00032858897191268113,0.00014127650815233685,7.594956268653524e-06,1.3498046502466922e-05,14.694277137161755,0.011751725347985631,2.938855427432351
5.12994,0.0003448493418182975,0.00016371761413571357,8.364858897646895e-06,1.4922436152456808e-05,19.38432244213479,0.001629647409025603,3.876864488426958
5.1338099999999995,0.00018537592961329836,6.668273846258528e-05,4.834678832823563e-06,8.182134983678915e-06,21.383623576808734,0.0006854118893073746,4.2767247153617465
5.13888,0.00016124028519467261,4.056903920102078e-05,4.549882047345965e-06,7.3024071735138655e-06,40.0787137764683,1.4397687131406656e-07,8.01574275529366
5.14165,0.0001655708660671068,4.180474735288278e-05,4.492180850892629e-06,7.119916794689543e-06,62.88579792845785,3.074096532884596e-12,12.57715958569157
5.1447400000000005,0.0001599112411951867,4.450805257953189e-05,4.3886403556981955e-06,6.960874100723629e-06,79.89573427662648,8.881784197001252e-16,15.979146855325297
5.14799,0.00015892553992418113,3.542822124405785e-05,4.4534207326775466e-06,6.8281014480222686e-06,107.09994740351685,0.0,21.41998948070337
5.15001,0.00016880227186477674,4.10940141512396e-05,4.919512995133224e-06,7.638733981810103e-06,85.17719187899118,1.1102230246251565e-16,17.035438375798236
5.150980000000001,0.00016488348993481228,3.433826321427997e-05,4.36740526257511e-06,6.677221102198352e-06,120.7497727694195,0.0,24.149954553883898
5.15704,0.00016687277202945158,3.822300233481457e-05,4.261961294194941e-06,6.5043222902696655e-06,154.17546029996498,0.0,30.835092059992995
5.15937,0.00017510458375191888,5.3012590466056854e-05,4.256377662988982e-06,6.645682262835219e-06,163.02773365354915,0.0,32.60554673070983
5.17005,0.00017983236810434951,6.848479140339627e-05,4.472049388723817e-06,7.196446962534789e-06,134.49079150816618,0.0,26.898158301633238
5.18984,0.00019561630605830358,7.545937674490038e-05,4.403672932172447e-06,7.084376238570902e-06,192.75228329504768,0.0,38.550456659009534
5.210030000000001,0.0002345449143782939,9.265186469577195e-05,5.342674038645591e-06,8.47521473380619e-06,256.5492679667732,0.0,51.30985359335464
5.23003,0.0002906748208535703,0.0001221647192327804,7.125735048177029e-06,1.10126348437638e-05,373.30604961617786,0.0,74.66120992323557
