,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
4.31513,0.0004330483422816485,0.0,0.00013675629688266068,0.0,-3.819514583839855e-05,0.0,3.6176945741968904e-05,0.0,1.1861531544586589e-06,0.0,4.485889182644457e-05
4.3172,0.0004219084528141954,0.0,0.00010875849727117722,0.0,-1.3876022002906383e-05,0.0,1.8461447403827556e-05,0.0,-4.136060031076244e-06,0.0,4.283748507136755e-05
4.31917,0.0004123885649530886,0.0,0.0001194134582999929,0.0,-2.1276490530679285e-05,0.0,6.621509211709242e-07,0.0,1.2981553908701377e-05,0.0,3.773153061635789e-05
4.32116,0.0003837072324214958,0.0,0.00010543264509814675,0.0,-2.4626673884439452e-05,0.0,2.9632893102606017e-05,0.0,-1.0441828114170111e-05,0.0,4.470336314242241e-05
4.32298,0.00034869053887958567,0.0,9.771245428532433e-05,0.0,-2.437791869369724e-05,0.0,3.6697478145750164e-05,0.0,-3.2426311671054727e-06,0.0,3.270808872871602e-05
4.32521,0.00028323666487957156,0.0,8.264722341113362e-05,0.0,-1.6569861600661538e-05,0.0,1.3816282970510675e-05,0.0,-9.94888595180483e-06,0.0,3.5005516021090076e-05
4.32711,0.00022578989095608105,0.0,6.0647751769455576e-05,0.0,-1.4997336641325746e-05,0.0,1.2696435155736804e-05,0.0,1.6685145653542951e-07,0.0,1.5110434858005497e-05
4.32908,0.0001521811410075711,0.0,4.519304677350226e-05,0.0,-1.036916396864519e-05,0.0,1.9791623916861413e-05,0.0,-1.8983253710487812e-06,0.0,1.1040064699643034e-05
4.33012,0.00021471973148109752,0.0,6.0313202251210256e-05,0.0,-1.2114761814822596e-05,0.0,1.0135236171844145e-05,0.0,5.039934023615276e-06,0.0,9.418704308504334e-06
4.33119,0.00010803913031742898,0.0,3.094517406336485e-05,0.0,-6.105691072827257e-06,0.0,6.467546647296249e-06,0.0,-3.893611928922483e-06,0.0,1.1785445458060285e-05
4.33324,7.313266155341742e-05,0.0,1.4325095852421313e-05,0.0,-4.375332126223743e-06,0.0,5.193949627273662e-06,0.0,4.483825344140168e-06,0.0,-3.697910195057461e-06
4.33515,5.59181397836446e-05,0.0,9.866904362898074e-06,0.0,-2.354822667738744e-06,0.0,4.970562840737473e-06,0.0,-5.580373676075347e-06,0.0,5.857030061185738e-06
4.34004,3.343290228730013e-05,0.0,7.017735680227253e-06,0.0,-2.660826862964292e-06,0.0,1.944250345503459e-06,0.0,1.686774007570416e-06,0.0,1.9345953427833593e-06
4.34488,2.99752671343476e-05,0.0,2.0026929162657113e-06,0.0,-6.208669133289587e-06,0.0,2.8379562050308464e-06,0.0,1.0937981274392758e-06,0.0,3.888219907618009e-06
4.34998,2.828605278906348e-05,0.0,2.4151440587036073e-06,0.0,-3.9329754828724694e-06,0.0,1.40302215708049e-06,0.0,2.4889079914430193e-06,0.0,1.0230349654153097e-06
4.37005,3.074477964070382e-05,0.0,2.646357788449969e-07,0.0,-4.436784402680731e-06,0.0,-4.0994447738067277e-07,0.0,2.1538278845729762e-06,0.0,2.011960181682458e-06
4.39015,3.9805029864166196e-05,0.0,-2.7280643415563307e-06,0.0,6.30442465751721e-07,0.0,9.803306797839912e-07,0.0,2.5169478844131696e-06,0.0,1.1307743165363733e-07
4.41003,5.466327866771303e-05,0.0,-4.453420330725588e-06,0.0,-3.927087324481167e-06,0.0,5.877297966877223e-06,0.0,1.9918903258930877e-06,0.0,1.419309695866978e-06
4.42024,8.023033825071826e-05,0.0,-5.618849263288933e-06,0.0,-5.973128620429142e-06,0.0,4.792346608162107e-06,0.0,-7.224281269880092e-06,0.0,1.3347683783972237e-05
4.43018,0.00010004582298108628,0.0,-8.103221882708697e-06,0.0,-5.188171410593885e-06,0.0,5.786798539031426e-06,0.0,-1.817464434197226e-06,0.0,3.975821460204755e-06
4.44004,0.00018861022982217065,0.0,-1.7103690010643006e-05,0.0,-9.75076354724468e-06,0.0,6.760989270139192e-06,0.0,3.9906225878509806e-08,0.0,1.5042336359071566e-05
4.44994,0.0002955963335069699,0.0,-3.556069665443001e-05,0.0,-1.3973491265533179e-05,0.0,1.485837438689869e-05,0.0,1.1778322544707425e-06,0.0,3.3616581672986773e-06
4.4549900000000004,0.0006947363410957168,0.0,-9.356661731319357e-05,0.0,-4.952839667792611e-06,0.0,1.6626684540764134e-05,0.0,-1.0311020924286424e-05,0.0,3.0966011620603766e-05
4.46012,0.0010371743138621642,0.0,-0.0001217561877665779,0.0,-4.175101185087337e-05,0.0,6.412201779847523e-05,0.0,-3.41923832651671e-05,0.0,8.776402718986175e-05
4.4699599999999995,0.0010954601029267727,0.0,-0.0001672089661349105,0.0,-6.369707240467485e-05,0.0,9.932242263570139e-05,0.0,-3.996048433792517e-05,0.0,9.391739909341076e-05
4.4779800000000005,0.0008079308192176808,0.0,-0.0001119094420180533,0.0,-2.1216654155246134e-05,0.0,4.4778383619924933e-05,0.0,-2.7065544180375e-05,0.0,6.984461819545424e-05
