,0,a0err,Pval,Order
4.67012,0.00021435962019553828,5.715810075297204e-06,0.6152983530581266,4
4.68015,0.00014801406992735467,3.908034353300126e-06,0.8733233136754037,4
4.68993,0.00010351041625059679,2.809863560398243e-06,0.26013142055043825,4
4.71002,8.820420325260118e-05,2.240833096631176e-06,0.20376368856390922,4
4.73,9.63016491376634e-05,2.527997945883369e-06,0.1980174293228138,4
4.75,0.00015665562699875767,4.012946324980183e-06,0.22648924880096505,4
4.75518,0.0003219776331451081,8.198352003525949e-06,0.48036311068940907,4
4.75888,0.00032833110862751715,8.322962404928011e-06,0.5774584919398817,4
4.77004,0.0003111155445297561,8.042990345358802e-06,0.2579913591480385,4
4.77502,0.00024867367962460977,6.910536007215614e-06,0.17409321927848717,4
4.7801800000000005,0.0001761230762134161,6.528834348389634e-06,0.21121047495789735,4
4.79012,0.00027681170370028973,8.400899966068844e-06,0.157054014446337,4
4.799919999999999,0.0005779308048517445,1.41401995222401e-05,0.5176226434226772,4
4.81003,0.0005064140692622108,1.2190445584371465e-05,0.32412899462517064,4
4.8121599999999995,0.00033486902605160007,7.97570061199765e-06,0.1734037009624301,4
4.81527,0.00021291216030467296,5.083672745679498e-06,0.07784706835399814,4
4.82006,0.00010416544610044721,2.5921077198653236e-06,0.013147978140862751,4
4.82989,7.564998114962568e-05,1.826624221679718e-06,0.29778071869449874,4
4.85003,7.983011701780326e-05,1.9185052223028804e-06,0.03699909920564906,4
4.86629,8.526316117597789e-05,2.0868246476716275e-06,0.007825594059197142,4
4.88989,9.170484010215096e-05,2.1586897724318063e-06,0.049263842148406296,4
4.89991,9.790443955508839e-05,2.516353508032782e-06,0.3168206077221394,4
4.9101300000000005,9.780791071983686e-05,2.4860058445117096e-06,0.15456975437055676,4
4.91996,9.823221345396264e-05,2.674924071240158e-06,0.2947349293662404,4
4.92615,0.0001028737381645135,2.5193926123202423e-06,0.3403810078439922,4
4.9301900000000005,0.00010467311535008181,2.746844804958198e-06,0.177419116450362,4
4.93692,0.00010598331991590927,2.6396923517825337e-06,0.005359896560482749,4
4.94675,0.00010692154364276423,2.697035062580076e-06,0.06316160304145738,4
4.95027,0.00011133776251494738,2.931021222057099e-06,0.09065005316397205,4
4.95676,0.00010719866622981972,2.753835505160261e-06,0.011766121918004493,4
4.961869999999999,0.00011148172152602202,2.832056957545499e-06,0.40388160493314335,4
4.96475,0.0001117146794260659,2.891096408515941e-06,0.1639114689656721,4
4.96787,0.00011531279259570365,2.9870174664192597e-06,0.21119970156938425,4
4.97004,0.00012176259713437044,3.2310826853211153e-06,0.14278572881983712,4
4.9728,0.00011527836718184513,2.8755117477145864e-06,0.033408336658360856,4
4.97463,0.00011672639660823735,3.0312499463700767e-06,0.33077259217798444,4
4.98471,0.00011787020280581468,2.9709897825009188e-06,0.10331625401685056,4
4.990069999999999,0.0001259204163923138,3.252902011127548e-06,0.01495887411817938,4
4.994669999999999,0.00012122907753250948,2.986163755542509e-06,0.06272984797183398,4
5.00464,0.00012514481864316464,3.001272659856829e-06,0.014832867756642639,4
5.00999,0.00013537000422334438,3.3827922500331504e-06,0.31629740978500503,4
5.01484,0.00014511508967042638,3.520806437384537e-06,0.13624512684483472,4
5.01774,0.00016347191266199757,4.000530126967168e-06,0.14239914968100337,4
5.01786,0.0001625995450027622,3.958826851208801e-06,0.23110493729140355,4
5.019819999999999,0.00020099375089719393,5.019190087311365e-06,0.87742326831174,4
5.0248,0.00032020378173676085,8.075810343373893e-06,0.704932468035151,4
5.027830000000001,0.0004352930615922308,1.0675243157151015e-05,0.8939180581602578,4
5.0301,0.00043304142714375933,1.0957150222165677e-05,0.24405849122849665,4
5.032780000000001,0.00040898349355742727,1.0189336628179387e-05,0.6381216554724859,4
5.0359,0.0003999277368983325,9.98094077107569e-06,0.5660631404854293,4
5.03871,0.00039363483747239863,9.923503906547885e-06,0.7611691304591899,4
5.041980000000001,0.0003727868314419133,9.675723782515096e-06,0.9507597521516641,4
5.04479,0.00033584467482811946,8.654514653719285e-06,0.9450390937839342,4
5.04997,0.00025209308556816394,6.887368511875127e-06,0.3100385971612904,4
5.05484,0.00018086466709749734,4.981857138753359e-06,0.34354195198700815,4
5.0648800000000005,0.00035424245977412833,8.44471824994842e-06,0.7835674984165507,4
5.06991,0.0003463301371260827,8.317521209231094e-06,0.07205621099709977,4
5.07448,0.00035411524878559337,8.232781242942664e-06,0.9009454903890814,4
5.08419,0.00031923855163967557,7.648526812996306e-06,0.13105091329881943,4
5.08999,0.0003212435259156648,7.79075646660776e-06,0.03972138214009063,4
5.093719999999999,0.0005735892885785573,1.4528678266963438e-05,0.8628292154391523,4
5.09676,0.0007487428387333323,1.8241406211163983e-05,0.47637585214213574,4
5.09889,0.000727418878187352,1.83250240154514e-05,0.33470257780537627,4
5.09999,0.0007314119996501428,1.8713696020286435e-05,0.6327935697851879,4
5.10043,0.0007176960561035843,1.8321666192488767e-05,0.452307298693423,4
5.100709999999999,0.0007191717205265986,1.8297020327813327e-05,0.5098934552550649,4
5.10288,0.0012069702434784624,2.8850556422095912e-05,0.5268399072352795,4
5.1048599999999995,0.001280933260067283,3.0131458075171985e-05,0.6475102547130256,4
5.1069,0.0012008618534371344,2.857292774940747e-05,0.4359113365401258,4
5.10878,0.0011626744582246824,2.7538850933874307e-05,0.45572053642198196,4
5.110040000000001,0.001160898617735995,2.767737986033409e-05,0.14482973229960236,4
