,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10
4.46012,2.13114282748889e-05,0.0,5.968741533407927e-06,0.0,-1.1259648593078612e-05,0.0,3.665696432989317e-06,0.0,-1.9080839367469206e-06,0.0,-2.338720800716959e-07
4.4699599999999995,2.2119408698246374e-05,0.0,6.323770475529112e-06,0.0,-1.420486441330429e-05,0.0,1.182421674808926e-05,0.0,-7.691929628946254e-06,0.0,1.1925356295563272e-05
4.4779800000000005,2.991380728876441e-05,0.0,2.005153982882275e-05,0.0,-3.032095440092216e-05,0.0,-4.616722290856752e-06,0.0,7.31372951630484e-06,0.0,3.86445792698861e-06
4.48613,3.8047622276364e-05,0.0,2.382322080604411e-05,0.0,-2.6259244856038728e-05,0.0,3.6436677868875573e-06,0.0,1.5089411782171164e-07,0.0,1.1196275550917762e-05
4.48819,4.4579330345307086e-05,0.0,2.271715407634867e-05,0.0,-3.310758061060855e-05,0.0,9.712123001843102e-06,0.0,-1.5200067604803878e-06,0.0,6.987498340825835e-06
4.490069999999999,4.317575910630945e-05,0.0,2.692090775949339e-05,0.0,-2.984562059993987e-05,0.0,7.46305744821705e-06,0.0,-3.90135849215926e-06,0.0,1.086974424522464e-05
4.49222,4.9441058928884196e-05,0.0,2.4245489268969312e-05,0.0,-2.8742558844400382e-05,0.0,9.717883530532472e-06,0.0,-5.116920322735605e-06,0.0,9.309563609218578e-06
4.4949900000000005,5.4610267178775476e-05,0.0,2.655311711302701e-05,0.0,-3.129048253043266e-05,0.0,8.82239817284277e-06,0.0,-7.478891265967326e-07,0.0,1.0188066238967588e-05
4.499969999999999,5.84544819915622e-05,0.0,2.8912312425968255e-05,0.0,-3.34894767767213e-05,0.0,8.650336752304697e-06,0.0,-5.018859829521265e-06,0.0,7.505766347902925e-06
4.51021,6.395731647471935e-05,0.0,3.111836847465461e-05,0.0,-3.7555721738810225e-05,0.0,3.392289504230541e-06,0.0,2.2752578754758303e-06,0.0,1.1971927462169874e-05
4.51218,7.504070137476266e-05,0.0,3.8348276145703885e-05,0.0,-5.503185865406747e-05,0.0,9.681263714512703e-06,0.0,-3.4510884244878755e-06,0.0,1.2126420923590392e-05
4.51508,7.514830923105714e-05,0.0,4.718071767614746e-05,0.0,-6.76121735218616e-05,0.0,1.6218201244258926e-06,0.0,-5.593039695935282e-06,0.0,2.2325150180645915e-05
4.52007,6.897595754836892e-05,0.0,3.4350640501240887e-05,0.0,-6.457621303149938e-05,0.0,9.453833562108187e-06,0.0,-1.7359135035281647e-05,0.0,1.89908515189254e-05
4.52524,6.79669584897181e-05,0.0,3.453969334269594e-05,0.0,-7.638761584674959e-05,0.0,1.3213261861030815e-05,0.0,5.827478791321673e-07,0.0,5.203529857376081e-06
4.5294099999999995,6.867250760374935e-05,0.0,4.230133561356238e-05,0.0,-7.419650539137844e-05,0.0,7.850014303775598e-06,0.0,-1.2340725232579296e-05,0.0,1.0266639819489478e-05
4.53506,5.93977946046591e-05,0.0,2.860177045900483e-05,0.0,-7.420915137982252e-05,0.0,1.565645731797917e-05,0.0,-8.29510721242956e-07,0.0,-6.27118103975299e-06
4.54024,4.404321280505995e-05,0.0,1.802000704037622e-05,0.0,-4.3679589290346805e-05,0.0,1.0992135969639147e-05,0.0,-8.995751764361919e-06,0.0,7.434047104901648e-06
4.5498,5.5551425654072086e-05,0.0,2.2900316328121375e-05,0.0,-5.185388136077186e-05,0.0,1.95138587392238e-05,0.0,-1.3505992116245926e-06,0.0,1.0882401835813689e-06
4.56018,2.1089705573389476e-05,0.0,6.533546194448713e-06,0.0,-2.257692632375862e-05,0.0,9.094302474596607e-06,0.0,2.0783278507016157e-06,0.0,3.4702110765770117e-06
4.570130000000001,1.6503354102407343e-05,0.0,1.2147415448960238e-05,0.0,-1.2616732939604094e-05,0.0,5.608118317331015e-06,0.0,-1.020144190130175e-05,0.0,6.183142087171059e-06
4.580030000000001,2.3992359999050884e-05,0.0,5.988099462601709e-06,0.0,-1.3280625063917572e-05,0.0,-5.781950666017803e-07,0.0,2.6126074315546805e-06,0.0,2.632124249520177e-06
4.59008,5.1613401163401674e-05,0.0,3.1332300480744654e-05,0.0,-6.486994207587058e-05,0.0,1.079594839668915e-05,0.0,-3.1012855820511035e-06,0.0,8.710313904883852e-06
4.60027,0.0001459477099972008,0.0,0.0001049539624772,0.0,-0.0002216484612861172,0.0,-5.8505173408119784e-06,0.0,-3.409137437708229e-06,0.0,1.80772957289661e-05
4.60999,0.00042640839396072,0.0,0.00030841000873287587,0.0,-0.0007222340534576396,0.0,3.1455836547484126e-05,0.0,-1.2503025727564942e-05,0.0,-1.8870752655898558e-05
4.62023,0.00047634789532510405,0.0,0.0003384833553919355,0.0,-0.0008385434074806151,0.0,1.880882848852829e-05,0.0,1.9566623987503966e-05,0.0,1.394289945450521e-05
4.62994,0.00036432346387650183,0.0,0.000262691237770176,0.0,-0.0006001092344180434,0.0,-4.0053962254308695e-05,0.0,4.650024150494089e-05,0.0,2.337155322890949e-05
4.63517,0.00019243594594689517,0.0,0.00012413819245359796,0.0,-0.0002978329223357403,0.0,1.0340340970115695e-05,0.0,1.5325833309926636e-06,0.0,1.658060954956857e-05
4.639959999999999,0.00017175735340853185,0.0,0.00010115859802168943,0.0,-0.0001936933622460058,0.0,9.475480059983014e-06,0.0,1.821277320423042e-05,0.0,1.7899396305315434e-05
4.64996,0.00020142087155550984,0.0,0.00011976843925505271,0.0,-0.00024164728171844002,0.0,1.3729405266243998e-05,0.0,-1.1180953820877312e-05,0.0,3.4146992129344616e-05
4.67012,0.00021561084237862953,0.0,9.999283423039325e-05,0.0,-0.0002491391887284213,0.0,6.112113310803722e-06,0.0,1.3987799133886885e-05,0.0,7.045187733694453e-06
4.68015,0.0001483719190383653,0.0,5.989723130187744e-05,0.0,-0.0001326586792444305,0.0,1.4894982871040924e-06,0.0,5.912445396220108e-07,0.0,7.266705498436202e-06
4.68993,0.00010443772021574829,0.0,5.016618034354037e-05,0.0,-9.543859858650799e-05,0.0,1.050299183490323e-05,0.0,3.8988237099395825e-06,0.0,3.7154321239937448e-06
4.71002,8.886913314488824e-05,0.0,4.040058707792905e-05,0.0,-6.245125624566838e-05,0.0,3.067531408105491e-06,0.0,2.854424433821122e-06,0.0,8.882406384010567e-06
4.73,9.704082662837653e-05,0.0,4.649827088952953e-05,0.0,-7.292426620792233e-05,0.0,3.2921718835139315e-06,0.0,1.8853726503618316e-06,0.0,1.0946466342327425e-05
4.75,0.00015794053029354648,0.0,7.673444538226866e-05,0.0,-0.000143250767509751,0.0,9.094125280222255e-06,0.0,-1.8634886128534577e-06,0.0,1.4206894405758794e-05
4.75518,0.0003248392078128529,0.0,0.00016625912890073325,0.0,-0.0003685198752867577,0.0,1.867263419281196e-06,0.0,1.9371919004758775e-05,0.0,1.5384287070605375e-05
4.75888,0.0003304427818805867,0.0,0.00016265251439063312,0.0,-0.0003566392303563595,0.0,-3.5925778604927215e-06,0.0,2.4230742823255367e-05,0.0,1.58300405484883e-05
4.77004,0.0003142635187698212,0.0,0.00015857951019209655,0.0,-0.000315905012237751,0.0,1.5119775785684635e-05,0.0,1.7776685528250448e-06,0.0,2.3747704585942462e-05
4.77502,0.00025020868706488396,0.0,0.00012142388750210064,0.0,-0.00021639290607377312,0.0,7.966279664493301e-06,0.0,3.2223324555858005e-06,0.0,3.075537084328792e-05
4.7801800000000005,0.0001763539029437513,0.0,9.689398239808262e-05,0.0,-0.00013225642232554712,0.0,2.5151571600280885e-05,0.0,-1.0594182212810562e-05,0.0,2.3301602039207586e-05
4.79012,0.0002776737021707738,0.0,0.0001298725128063984,0.0,-0.0001233157123724692,0.0,2.998407000165902e-05,0.0,-1.2525580263244783e-05,0.0,4.618385431377692e-05
4.799919999999999,0.0005790213665164781,0.0,0.00028384269261712443,0.0,-0.0002006464253445156,0.0,1.3719056186300263e-06,0.0,1.1706661329634704e-05,0.0,7.145488285557684e-05
4.81003,0.0005068587550214529,0.0,0.00025040616230585734,0.0,-0.00015879168218420518,0.0,2.391044941802677e-05,0.0,2.120404954992653e-05,0.0,5.573296554661695e-05
4.8121599999999995,0.000335091873639761,0.0,0.00017299546902907386,0.0,-0.00010875569720165093,0.0,5.871556271305055e-06,0.0,2.3359665043746555e-05,0.0,4.6839697301296074e-05
4.81527,0.00021333597511437294,0.0,9.236844189189549e-05,0.0,-5.308437901512742e-05,0.0,1.1438798347110186e-05,0.0,7.439251633637938e-06,0.0,3.7071895961628346e-05
4.82006,0.00010452501707711418,0.0,4.029596767950036e-05,0.0,-2.048306482971827e-05,0.0,9.053789460069164e-06,0.0,-6.990952863970183e-07,0.0,2.453405130093452e-05
4.82989,7.570944922774535e-05,0.0,2.480662774505639e-05,0.0,-1.3123720143099316e-05,0.0,2.7228483544816846e-06,0.0,5.977077499125947e-06,0.0,5.836430268168952e-06
4.85003,8.06678593842808e-05,0.0,2.1373419864488958e-05,0.0,-2.3807071696314102e-05,0.0,1.3125329481643314e-05,0.0,-3.639525016030417e-06,0.0,8.772896020015593e-06
4.86629,8.632137541261434e-05,0.0,2.0626857453713818e-05,0.0,-2.897319621371781e-05,0.0,1.7671802702786873e-05,0.0,-2.27417815501335e-06,0.0,8.21531418746908e-06
4.88989,9.23690562042076e-05,0.0,3.261239736797532e-05,0.0,-3.387732885294438e-05,0.0,8.332595632655744e-06,0.0,4.822686081987783e-06,0.0,9.327654872332268e-06
4.89991,9.823551631898122e-05,0.0,3.738301770115309e-05,0.0,-3.3506197112313e-05,0.0,8.309270776286744e-06,0.0,8.453047675674776e-07,0.0,9.036037718047545e-06
