,a0,a1,a2,a3,a4,a5,a6,a7,a8
4.291119999999999,2.555106764107356e-05,0.0,4.871282544406596e-06,0.0,-2.9423308047673285e-06,0.0,3.8704304271952426e-06,0.0,-1.000626765428599e-06
4.29319,3.0739001941525396e-05,0.0,5.530249176554035e-06,0.0,3.6583537476241117e-06,0.0,1.8441390816483982e-07,0.0,-3.135921215660228e-06
4.2942,3.5255585056476966e-05,0.0,6.342954368688451e-06,0.0,-2.4899329807263247e-06,0.0,3.1370797967681475e-06,0.0,1.9495418660329777e-06
4.29515,4.233031461767513e-05,0.0,9.075400186797497e-06,0.0,4.537761983249423e-07,0.0,4.42639444489197e-06,0.0,1.0926108220957304e-06
4.29615,4.683079937556379e-05,0.0,1.3943893928056807e-05,0.0,-1.450792901267589e-06,0.0,4.424115754941208e-06,0.0,-6.141583980358119e-06
4.297219999999999,7.233750450186386e-05,0.0,1.5629911412541326e-05,0.0,-4.599116464427065e-06,0.0,6.565056381133086e-06,0.0,2.987096517102211e-06
4.298080000000001,0.00020680317895764932,0.0,6.775419463141339e-05,0.0,-1.176231769190921e-06,0.0,1.2765109439091118e-05,0.0,2.850161477932904e-06
4.2990900000000005,0.0003286713564710649,0.0,0.00010941788755080125,0.0,-1.6752187106807304e-05,0.0,2.674199258745853e-05,0.0,3.1127438342880342e-06
4.30105,0.0004941971068208612,0.0,0.00014075177533386227,0.0,-2.2563034448620037e-05,0.0,1.2307359165320512e-05,0.0,2.359130644406675e-06
4.3031,0.0004955062509091457,0.0,0.00015361970567150384,0.0,-2.3698339549936493e-05,0.0,1.9378913352390264e-05,0.0,2.2861821011251128e-05
4.30523,0.0004615906644434714,0.0,0.00012798289254767594,0.0,-3.5828911174398793e-05,0.0,5.547483498550423e-05,0.0,-2.179378378690904e-06
4.30725,0.0004383812234899956,0.0,0.00012929104696759354,0.0,-2.5891202113543546e-05,0.0,3.2771897099159114e-05,0.0,1.2676015706230865e-05
4.3093,0.00044237049652303935,0.0,0.00012485922857287518,0.0,-3.3981253761974364e-05,0.0,4.209770128887783e-05,0.0,4.069050811104548e-06
4.30996,0.0004483355833263111,0.0,0.00011499623132786095,0.0,-1.7197165322552406e-05,0.0,3.364356235870291e-05,0.0,-4.068441178723866e-06
4.31117,0.00043130491811898956,0.0,0.0001124937383807557,0.0,-2.3598140903513236e-05,0.0,5.0326893496578095e-05,0.0,-1.3215298801127651e-05
4.31311,0.0004362767896033278,0.0,0.00013231564005325775,0.0,-2.8439210024556337e-05,0.0,3.04536993955281e-05,0.0,1.1930505381937848e-05
4.31513,0.0004327507613968165,0.0,0.0001395083958939823,0.0,-3.386373082399755e-05,0.0,5.274304651392657e-05,0.0,6.693483161671964e-06
4.3172,0.00042142861992484426,0.0,0.00011165318187859916,0.0,-1.0103716256008204e-05,0.0,3.213649541678618e-05,0.0,4.737012025611505e-06
4.31917,0.00041201477744802896,0.0,0.00012128019803541797,0.0,-1.634938183705553e-05,0.0,1.247936331570619e-05,0.0,2.0613007083239134e-05
4.32116,0.0003832833667776135,0.0,0.00010800827593394324,0.0,-2.178129360634617e-05,0.0,4.532271011360831e-05,0.0,-2.0850509850823533e-06
4.32298,0.00034861687127219344,0.0,9.96055182540318e-05,0.0,-2.2304577379064778e-05,0.0,4.8430805700327956e-05,0.0,1.8350391107913793e-06
