,a0,a1,a2,a3,a4
4.31311,2.1490108616246743e-05,0.0,7.797389301917112e-06,0.0,-9.312181372731729e-06
4.31513,2.6271412031601732e-05,0.0,1.3600170762582817e-05,0.0,-7.948072162027707e-06
4.3172,2.637008983763477e-05,0.0,1.4992076273716563e-06,0.0,1.7345831021649827e-06
4.31917,2.8938880707507814e-05,0.0,-7.526448145903011e-07,0.0,-3.5159928957249573e-06
4.32116,2.6205198911284813e-05,0.0,1.0785849405935617e-05,0.0,-4.4750241026301086e-06
4.32298,2.462729626458382e-05,0.0,6.346801633307679e-06,0.0,-5.2906033498145975e-06
4.32521,1.9340747712171297e-05,0.0,5.652202490408301e-06,0.0,-2.5177528285229304e-06
4.32711,1.950019276066589e-05,0.0,8.070314515739887e-07,0.0,3.2919122643326063e-06
4.32908,1.566018798795607e-05,0.0,1.2456419829341616e-05,0.0,-9.733662920835493e-06
4.33012,1.6551929266304315e-05,0.0,4.256605819684314e-06,0.0,-1.6347881323179086e-06
4.33119,2.5389210997628068e-05,0.0,8.134347175296553e-07,0.0,2.1109664754367376e-06
4.33324,2.5480009110035927e-05,0.0,7.86265149444552e-06,0.0,-4.495049169431173e-06
4.33515,2.485388422748279e-05,0.0,2.410586573083563e-06,0.0,-5.291129422906016e-07
4.34004,2.2315855691117778e-05,0.0,2.050895989633048e-06,0.0,-8.426806246092887e-07
4.34488,2.2912372325533804e-05,0.0,3.5801644993118328e-06,0.0,1.6946971961398248e-07
4.34998,2.2203220935393614e-05,0.0,5.700198054040358e-07,0.0,-5.395908985335139e-07
4.37005,1.5477366540918624e-05,0.0,2.6262985606963115e-06,0.0,-7.046979306017423e-07
4.39015,2.0331885417331727e-05,0.0,8.026480164760602e-07,0.0,1.0420832242845026e-06
4.41003,2.998919027135467e-05,0.0,1.8145836326371696e-06,0.0,2.0186588188732733e-06
4.42024,4.437947726803954e-05,0.0,4.601548104150824e-06,0.0,-3.7273650792651494e-07
4.43018,6.122324000044898e-05,0.0,5.727132973486565e-07,0.0,-4.073222405690107e-07
4.44004,0.00012611335947449346,0.0,9.38238090816358e-06,0.0,4.403434994410079e-06
4.44994,0.00021758039926551652,0.0,8.70215877760056e-06,0.0,-6.108362554697789e-06
4.4549900000000004,0.0005930005072766747,0.0,6.563863548562045e-05,0.0,-1.3247219376195973e-05
4.46012,0.0009578961583832155,0.0,6.659036326724847e-05,0.0,3.216659621124773e-07
4.4699599999999995,0.001062802071659494,0.0,4.466209563586099e-05,0.0,1.372684810856456e-06
4.4779800000000005,0.00085738814000085,0.0,7.506657475338505e-05,0.0,4.850941689161254e-06
4.48613,0.00044140491135103414,0.0,3.578551558044493e-05,0.0,-1.3725799184489062e-05
4.48819,0.0003404822434745066,0.0,3.096509091485974e-05,0.0,-1.2069738439347197e-05
4.490069999999999,0.00043105756303402434,0.0,2.636007966250819e-05,0.0,3.7974674119756796e-06
4.49222,0.00019098231152486536,0.0,1.6762925663966908e-05,0.0,2.162331126509181e-06
4.4949900000000005,0.0001369012669725027,0.0,7.513563430372848e-06,0.0,4.15304145776501e-07
4.499969999999999,7.899595679423413e-05,0.0,4.391149067018265e-06,0.0,3.777490970310091e-07
4.51021,4.2282246108716136e-05,0.0,2.465946224392605e-07,0.0,1.77723874639252e-06
4.51218,3.236910338708662e-05,0.0,2.1234452419725403e-06,0.0,1.299044087986035e-06
4.51508,3.175595359260273e-05,0.0,2.782547651637353e-06,0.0,6.690501432636469e-07
4.52007,3.8527847134815406e-05,0.0,1.080519864894548e-06,0.0,-3.447773641272181e-08
4.52524,5.276624362192782e-05,0.0,7.92559491574345e-06,0.0,1.9779956725273775e-06
4.5294099999999995,4.992839971618198e-05,0.0,1.2355063877650595e-05,0.0,-6.968193101641863e-06
4.53506,9.871145798137992e-05,0.0,1.878436413797103e-05,0.0,-1.8495351468115887e-06
4.54024,0.00015095943688424603,0.0,4.237528786635722e-05,0.0,-1.9135274496058356e-05
4.5498,0.0003789902275323646,0.0,2.9864801815068477e-05,0.0,-1.4416160407026743e-05
4.56018,0.0009639982198369353,0.0,6.786088975327293e-05,0.0,1.543386860786011e-06
4.570130000000001,0.0009541230475984057,0.0,3.4589334051244915e-05,0.0,1.4510742393731912e-05
4.580030000000001,0.0005175059492389411,0.0,3.288050866436893e-05,0.0,-2.2320910289857736e-05
4.59008,0.0002741643082254083,0.0,3.1660238321527055e-05,0.0,-2.0066348302998772e-05
4.60027,0.0001354423970981578,0.0,2.1714750575828557e-05,0.0,-1.4687585675131938e-05
4.60999,0.00013765093503473555,0.0,-3.652044569937109e-06,0.0,-9.476066902592977e-06
4.62023,9.155888145722755e-05,0.0,1.8579066082568284e-05,0.0,-3.1995701859421765e-05
4.62994,8.734681314476088e-05,0.0,-3.7800862004171243e-06,0.0,-3.2698661967858844e-06
