Run,Detector,Yield,Yield err,Fit Status
run0169,det_h1-2,0.017126,0.000550136,0
run0169,det_h1-3,0.0334138,0.000743722,0
run0169,det_h1-4,0.0396163,0.000789817,0
run0170,det_h0-0,0.0416068,0.000792202,0
run0170,det_h0-1,0.0406478,0.000777793,0
run0170,det_h0-2,0.0171921,0.000532681,0
run0170,det_h0-3,0.0337912,0.000741252,0
run0170,det_h0-4,0.0372596,0.000771166,0
run0170,det_h0-5,0.0406448,0.000803835,0
run0170,det_h0-6,0.0443948,0.00082677,0
run0170,det_h0-7,0.0366213,0.000764781,0
run0170,det_h1-0,0.0367444,0.000767853,0
run0170,det_h1-1,0.0343722,0.000744991,0
run0170,det_h1-2,0.0180713,0.000552325,0
run0170,det_h1-3,0.0354776,0.000747838,0
run0170,det_h1-4,0.043134,0.000810679,0
run0171,det_h0-0,0.0477731,0.000882058,0
run0171,det_h0-1,0.0450832,0.000852498,0
run0171,det_h0-2,0.0198132,0.000591595,0
run0171,det_h0-3,0.0381323,0.000814731,0
run0171,det_h0-4,0.0438793,0.000869064,0
run0171,det_h0-5,0.0497432,0.000915763,0
run0171,det_h0-6,0.0512896,0.000923238,0
run0171,det_h0-7,0.0420331,0.000851895,0
run0171,det_h1-0,0.0421555,0.000855458,0
run0171,det_h1-1,0.0405165,0.000835177,0
run0171,det_h1-2,0.0215146,0.000617919,0
run0171,det_h1-3,0.0408603,0.000840834,0
run0171,det_h1-4,0.0490826,0.000896494,0
run0172,det_h0-0,0.0287157,0.000554237,0
run0172,det_h0-1,0.0267834,0.000536058,0
run0172,det_h0-2,0.0116871,0.000381463,0
run0172,det_h0-3,0.0229638,0.00052092,0
run0172,det_h0-4,0.0261383,0.000547769,0
run0172,det_h0-5,0.0286812,0.000577986,0
run0172,det_h0-6,0.0301147,0.000589145,0
run0172,det_h0-7,0.0244479,0.00054452,0
run0172,det_h1-0,0.0257817,0.00054452,0
run0172,det_h1-1,0.0240251,0.000523281,0
run0172,det_h1-2,0.0126462,0.000409488,0
run0172,det_h1-3,0.0240477,0.000535441,0
run0172,det_h1-4,0.0291205,0.000560605,0
run0173,det_h0-0,0.0229399,0.000573761,0
run0173,det_h0-1,0.0221138,0.000562779,0
run0173,det_h0-2,0.00994512,0.000407665,0
run0173,det_h0-3,0.0186899,0.000543039,0
run0173,det_h0-4,0.021267,0.000576978,0
run0173,det_h0-5,0.0229662,0.000609145,0
run0173,det_h0-6,0.0239143,0.000616579,0
run0173,det_h0-7,0.0202588,0.000570609,0
run0173,det_h1-0,0.0201714,0.000565975,0
run0173,det_h1-1,0.0192773,0.000540147,0
run0173,det_h1-2,0.0107985,0.000434215,0
run0173,det_h1-3,0.0203899,0.000569985,0
run0173,det_h1-4,0.0238875,0.000590513,0
run0174,det_h0-0,0.0334447,0.000772347,0
run0174,det_h0-1,0.0315417,0.000757571,0
run0174,det_h0-2,0.0134616,0.000535805,0
run0174,det_h0-3,0.0255821,0.000712933,0
run0174,det_h0-4,0.0295127,0.000759986,0
run0174,det_h0-5,0.0322625,0.000799175,0
run0174,det_h0-6,0.0330849,0.00081641,0
run0174,det_h0-7,0.0290514,0.000767529,0
run0174,det_h1-0,0.0292647,0.000757225,0
run0174,det_h1-1,0.0279233,0.00073041,0
run0174,det_h1-2,0.0151335,0.000559864,0
run0174,det_h1-3,0.0274724,0.000744613,0
run0174,det_h1-4,0.0332526,0.00078033,0
run0175,det_h0-0,0.0532045,0.00105284,0
run0175,det_h0-1,0.0503056,0.00101992,0
run0175,det_h0-2,0.0220926,0.000710695,0
run0175,det_h0-3,0.0416004,0.000965622,0
run0175,det_h0-4,0.0475182,0.00102525,0
run0175,det_h0-5,0.0522891,0.00107901,0
run0175,det_h0-6,0.0564551,0.00112159,0
run0175,det_h0-7,0.0464181,0.00103008,0
run0175,det_h1-0,0.047039,0.00102703,0
run0175,det_h1-1,0.0460871,0.000995919,0
run0175,det_h1-2,0.0240908,0.000752088,0
run0175,det_h1-3,0.0456987,0.00100382,0
run0175,det_h1-4,0.0548461,0.00107616,0
run0176,det_h0-0,0.0797247,0.00142302,0
run0176,det_h0-1,0.073976,0.00136403,0
run0176,det_h0-2,0.031955,0.000934569,0
