,a0,a1,a2
4.41003,3.7404850628404414e-05,0.0,3.529886528487771e-06
4.42024,3.787535861952828e-05,0.0,6.904122378473211e-06
4.43018,3.8374797300007925e-05,0.0,6.567041920163892e-06
4.44004,3.1925550494472865e-05,0.0,9.72326028573928e-06
4.44994,3.5296838559982997e-05,0.0,7.340672253758972e-06
4.4549900000000004,1.8463305022699548e-05,0.0,8.865948973275458e-06
4.46012,1.9254185135960286e-05,0.0,3.936990528937024e-06
4.4699599999999995,2.097546741707899e-05,0.0,5.576780096614741e-06
4.4779800000000005,2.7575200549056545e-05,0.0,1.2534913830495494e-05
4.48613,3.561265604418514e-05,0.0,1.958214821145721e-05
4.48819,4.375970151375812e-05,0.0,1.3493799990771215e-05
4.490069999999999,4.271994000164996e-05,0.0,1.7898705431857677e-05
4.49222,4.795013362480553e-05,0.0,1.6955940095466414e-05
4.4949900000000005,5.459106439249664e-05,0.0,1.713423478194479e-05
4.499969999999999,5.9224162109571034e-05,0.0,1.4983788807187639e-05
4.51021,6.674114541139902e-05,0.0,1.4934203878997782e-05
4.51218,7.863819184759055e-05,0.0,1.4558465887989097e-05
4.51508,7.81710233328876e-05,0.0,2.05686266583859e-05
4.52007,6.956660575912104e-05,0.0,1.1551322973813753e-05
4.52524,6.904540764587338e-05,0.0,9.013476277927306e-06
4.5294099999999995,6.237368448386216e-05,0.0,2.866306686644587e-05
4.53506,5.938732541236609e-05,0.0,2.8831048147814477e-07
4.54024,4.249382429683577e-05,0.0,3.660258068545814e-06
4.5498,5.288218650799462e-05,0.0,1.0272660909881516e-05
4.56018,2.1225038209297706e-05,0.0,-3.126932629178649e-07
4.570130000000001,1.7923524020295896e-05,0.0,2.917854424075654e-06
4.580030000000001,2.5417119053849438e-05,0.0,-8.966661520941606e-07
4.59008,5.2833407391624606e-05,0.0,5.654304268377958e-06
4.60027,0.00017693307590226158,0.0,2.4428205237302092e-05
4.60999,0.0006236341020845332,0.0,-3.475686795136019e-05
4.62023,0.0007018688271467098,0.0,-7.683537325327364e-05
4.62994,0.0005206892129835511,0.0,9.718493854689642e-06
4.63517,0.00024705690903595377,0.0,6.239638116767398e-06
4.639959999999999,0.00018966216857702926,0.0,2.913810675312206e-05
