,a0,a1,a2,a3,a4,a5,a6,a7,a8
4.3093,0.00014631366430646454,0.0,9.488878667567579e-05,0.0,-0.00020609094480720909,0.0,6.726779961905315e-06,0.0,-5.327708076976641e-07
4.30996,0.00014750033710912288,0.0,9.72190778894807e-05,0.0,-0.0002076273935731641,0.0,1.1464200932004553e-05,0.0,1.1294986749553534e-06
4.31117,0.0001395372022899907,0.0,9.766074140104547e-05,0.0,-0.00019790549673222643,0.0,1.050864607360021e-06,0.0,-2.4194053461824054e-06
4.31311,0.0001341392163375379,0.0,8.857120702628533e-05,0.0,-0.00019377184410389382,0.0,4.3743408227856144e-06,0.0,-1.079994969358136e-05
4.31513,0.00012512274734652491,0.0,9.26290187389157e-05,0.0,-0.00019593738177016206,0.0,-4.656692078518561e-06,0.0,2.4741871205922564e-05
4.3172,0.0001223772666918804,0.0,8.322982555715562e-05,0.0,-0.00019014843496065786,0.0,-4.277149021072385e-06,0.0,1.3559951098661645e-05
4.31917,0.00011198876780649664,0.0,7.384926180968963e-05,0.0,-0.0001778328120517099,0.0,8.527304937555585e-06,0.0,3.5134769293674378e-06
4.32116,0.00011054036512995002,0.0,7.284598107342828e-05,0.0,-0.00016570663020812877,0.0,8.880400353305739e-06,0.0,8.788790762068403e-06
4.32298,9.672185983655008e-05,0.0,6.0935519935309364e-05,0.0,-0.00013829263308183049,0.0,1.61321179657182e-05,0.0,-2.2320215387526492e-05
4.32521,8.435581547085127e-05,0.0,5.362686415817536e-05,0.0,-0.000128564381624182,0.0,1.1334163959539088e-05,0.0,1.0432888262144576e-05
4.32711,7.285458562412794e-05,0.0,4.576714859754884e-05,0.0,-9.56289518252808e-05,0.0,1.0739937094870677e-05,0.0,-1.0909665927966023e-06
4.32908,5.90905399955792e-05,0.0,3.639435342413767e-05,0.0,-6.982021531275595e-05,0.0,9.586957451855217e-06,0.0,-3.6696993627594775e-06
4.33012,6.912126851273942e-05,0.0,4.697488477388094e-05,0.0,-9.573155765299035e-05,0.0,9.921341752311023e-06,0.0,-6.083225524529356e-06
4.33119,5.006031129369083e-05,0.0,2.1833290292415495e-05,0.0,-4.520401994330859e-05,0.0,1.0616381949303257e-05,0.0,-5.138137335573174e-06
4.33324,5.211160272609318e-05,0.0,2.3450887698341227e-05,0.0,-3.4939699066919713e-05,0.0,6.3497932547647344e-06,0.0,1.180261769229132e-06
4.33515,5.042150456826177e-05,0.0,2.1583547190192415e-05,0.0,-3.149616874947661e-05,0.0,8.800913958145336e-06,0.0,1.6619465232462537e-06
4.34004,4.464426459390953e-05,0.0,1.7112410457846373e-05,0.0,-2.156467611832257e-05,0.0,8.755673322659716e-06,0.0,4.5695339755526727e-07
4.34488,4.2148991275493856e-05,0.0,1.519924470557027e-05,0.0,-1.8906599839251696e-05,0.0,3.962592634831611e-06,0.0,1.1616390255046858e-06
4.34998,4.127831106821456e-05,0.0,1.376019644960992e-05,0.0,-1.8765787448658445e-05,0.0,3.28376961690016e-06,0.0,3.4644381381986393e-06
4.37005,3.5095282453295245e-05,0.0,6.387141803969777e-06,0.0,-1.4806551248148238e-05,0.0,1.1007015862040209e-05,0.0,-1.4822960492919673e-06
4.39015,3.4708435274831804e-05,0.0,7.640156698429776e-06,0.0,-1.2989762785256825e-05,0.0,1.0048716577478423e-05,0.0,-2.428650990735305e-06
4.41003,3.800828227508363e-05,0.0,8.080509235055662e-06,0.0,-1.655213598324218e-05,0.0,6.65098414248125e-06,0.0,6.567455954708602e-07
4.42024,3.901265833375597e-05,0.0,9.379590261327906e-06,0.0,-1.2692711347292585e-05,0.0,9.253690347923921e-06,0.0,-3.562858007613429e-06
4.43018,3.91771427023306e-05,0.0,1.0988985609713497e-05,0.0,-1.717167624057262e-05,0.0,9.045607910420435e-06,0.0,-1.7546353782596748e-06
4.44004,3.380975023818124e-05,0.0,1.3223758782661888e-05,0.0,-2.1984239779901184e-05,0.0,1.4958818924856716e-05,0.0,-3.877474324966688e-06
4.44994,3.4359975374850414e-05,0.0,1.5178378898979484e-05,0.0,-2.5615151408938983e-05,0.0,1.572363322061875e-05,0.0,-1.766335720963362e-07
4.4549900000000004,1.972846901998515e-05,0.0,1.0402085587286544e-05,0.0,-1.439558335427203e-05,0.0,3.5177920924737147e-06,0.0,5.822581695248474e-06
4.46012,2.1313502877216445e-05,0.0,5.954530266605165e-06,0.0,-1.123047196125213e-05,0.0,3.5787765152300855e-06,0.0,-1.991635849814666e-06
4.4699599999999995,2.1701996041475665e-05,0.0,7.671335613690054e-06,0.0,-1.4851351702770454e-05,0.0,1.3492304408222976e-05,0.0,-1.6837593318636088e-06
4.4779800000000005,2.9841703249085804e-05,0.0,2.0438573388038476e-05,0.0,-3.08353290519354e-05,0.0,-3.5282126565141246e-06,0.0,8.613148338079122e-06
4.48613,3.75837809383009e-05,0.0,2.565298526562173e-05,0.0,-2.7244605058994022e-05,0.0,6.256417232268837e-06,0.0,5.370668784180951e-06
4.48819,4.4329394317445824e-05,0.0,2.3666322369270414e-05,0.0,-3.3267920037362097e-05,0.0,1.0734593226178227e-05,0.0,1.9872144335633256e-06
4.490069999999999,4.290777616402153e-05,0.0,2.802995016069194e-05,0.0,-3.017949576775665e-05,0.0,9.055613277459346e-06,0.0,1.6317769225809997e-06
4.49222,4.9011263025117286e-05,0.0,2.569722394116726e-05,0.0,-2.9129724130043626e-05,0.0,1.1223306528551813e-05,0.0,-1.5299931914046162e-07
4.4949900000000005,5.412034448897915e-05,0.0,2.8141670247555343e-05,0.0,-3.149371014785055e-05,0.0,1.0099723334518326e-05,0.0,5.183823897170701e-06
4.499969999999999,5.814217335043696e-05,0.0,2.9966223953145045e-05,0.0,-3.34897324451214e-05,0.0,9.259996424912164e-06,0.0,-5.708873672089388e-07
4.51021,6.34996165140769e-05,0.0,3.292380566819056e-05,0.0,-3.71327588568002e-05,0.0,4.169974785429916e-06,0.0,9.526704358304865e-06
4.51218,7.467062925418798e-05,0.0,3.9852695010251706e-05,0.0,-5.4560213244352175e-05,0.0,1.0349293311050947e-05,0.0,3.413914223850912e-06
4.51508,7.445040764795912e-05,0.0,5.0176331788029256e-05,0.0,-6.750528008437876e-05,0.0,3.3890896370291056e-06,0.0,5.8570346223436154e-06
4.52007,6.841954510707308e-05,0.0,3.675199493299038e-05,0.0,-6.438772277278878e-05,0.0,1.1109140501776964e-05,0.0,-8.280055380098607e-06
4.52524,6.784055719600903e-05,0.0,3.506292519936298e-05,0.0,-7.64282053883469e-05,0.0,1.3901008520701815e-05,0.0,2.9918743992482256e-06
4.5294099999999995,6.82154449439994e-05,0.0,4.3943400601549474e-05,0.0,-7.509795781109627e-05,0.0,9.593373528303683e-06,0.0,-8.585258329259471e-06
4.53506,5.9385935319977645e-05,0.0,2.870483376915664e-05,0.0,-7.43117712268433e-05,0.0,1.5505822261247404e-05,0.0,-3.5372406106322677e-06
4.54024,4.388681074787534e-05,0.0,1.857997522497786e-05,0.0,-4.406258398314104e-05,0.0,1.2308637951325863e-05,0.0,-5.4829946259781885e-06
4.5498,5.549916659934574e-05,0.0,2.3030286871162192e-05,0.0,-5.1933397462882125e-05,0.0,1.9708007454074523e-05,0.0,-8.303917572664729e-07
4.56018,2.12299750289269e-05,0.0,6.147807306545361e-06,0.0,-2.2261383282913633e-05,0.0,9.180534741437943e-06,0.0,3.7798955746931477e-06
4.570130000000001,1.643773219288925e-05,0.0,1.192938447572387e-05,0.0,-1.2107017148330491e-05,0.0,4.68330647824029e-06,0.0,-4.654629236312928e-06
4.580030000000001,2.4360503244736e-05,0.0,5.074945860662924e-06,0.0,-1.1968246928396455e-05,0.0,-1.9903535205449844e-06,0.0,4.859277902432628e-06
4.59008,5.110386990225546e-05,0.0,3.2733645870094094e-05,0.0,-6.532351739638172e-05,0.0,1.1352282116679919e-05,0.0,1.6798447395341212e-06
4.60027,0.00014509287522245258,0.0,0.00010768639112007365,0.0,-0.00022176375621411678,0.0,-6.33121898397527e-06,0.0,3.964326327352246e-06
4.60999,0.0004250745403151135,0.0,0.0003118362121891713,0.0,-0.0007276517396235167,0.0,3.983072583129014e-05,0.0,-2.1511754842444502e-05
4.62023,0.0004773388196958699,0.0,0.000336590080164663,0.0,-0.0008339537883765609,0.0,1.3649299323892686e-05,0.0,2.7337899243554348e-05
4.62994,0.000364533996890832,0.0,0.0002624724663549332,0.0,-0.0005969991126186189,0.0,-4.598582590755424e-05,0.0,5.611131506124099e-05
4.63517,0.00019207036482432548,0.0,0.00012576363098071197,0.0,-0.0002966283341239808,0.0,8.888602459100718e-06,0.0,8.710645786422716e-06
4.639959999999999,0.0001708898828083447,0.0,0.00010416000149313493,0.0,-0.00019367154842083248,0.0,1.058772092012237e-05,0.0,2.6797773866673665e-05
4.64996,0.00020094267807023116,0.0,0.0001233249802935303,0.0,-0.00023752874050196778,0.0,1.1393928767517712e-05,0.0,6.339208422827692e-06
4.67012,0.00021549841228492598,0.0,0.00010065198871386699,0.0,-0.00024846419712888857,0.0,5.484060384153154e-06,0.0,1.707074791434456e-05
4.68015,0.00014819817653917753,0.0,6.081316351867254e-05,0.0,-0.0001321630904050641,0.0,1.47355093885253e-06,0.0,3.907850290380955e-06
4.68993,0.00010431480766895635,0.0,5.067310923218019e-05,0.0,-9.51751318096288e-05,0.0,1.0495246644034468e-05,0.0,5.877682928603076e-06
4.71002,8.856915056224487e-05,0.0,4.1680948253122915e-05,0.0,-6.189904196931835e-05,0.0,3.3269619225162478e-06,0.0,7.91102170571588e-06
